qid,query,answer1,answer2,answer3,answer4,answer5,answer6,answer7,answer8,answer9,answer10
57,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: multiple sclerosis stages phases\nComplete Answer:",Multiple sclerosis is a disease of multiple sclerosis that causes a number of symptoms and conditions that can affect one's mobility and strength.,Multiple sclerosis has four stages:,Multiple sclerosis stages a number of different stages:,Multiple sclerosis occurs in stages and stages of life.,"multiple sclerosis, london - bbc.com",multiple sclerosis stages phases,Multiple sclerosis is a disease that occurs in four stages:,Multiple sclerosis occurs during the following stages:,"Multiple sclerosis is a progressive disease that causes progressive weakness of the neck and upper back, and is often preceded by a loss of ability to move and movement.",Multiple sclerosis stages phases.
58,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: Risk to develop multiple sclerosis\nComplete Answer:",Multiple sclerosis: risk factors,Risk of developing multiple sclerosis,Multiple sclerosis is the leading cause of death in men.,Multiple sclerosis is a type of multiple sclerosis.,A person who is at high risk for multiple sclerosis is at a greater risk for multiple sclerosis.,multiple sclerosis,"Multiple sclerosis (Msc) is a common form of multiple sclerosis, a condition in which the brain connects to other organs through synaptic pathways, primarily the dorsal artery.",Multiple sclerosis is a disease that causes brain damage that can lead to multiple sclerosis.,Risk to develop multiple sclerosis,Increasing risk of multiple sclerosis
59,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: long-term effects likelihood multiple sclerosis\nComplete Answer:",Long-term effects of multiple sclerosis,,Long-term effects of multiple sclerosis,long-term effects of multiple sclerosis,long-term effects of multiple sclerosis,What are the long-term effects of multiple sclerosis?,Long-term effects of multiple sclerosis,msc is the most common form of multiple sclerosis,,Several studies have shown that people with multiple sclerosis have a greater long-term benefit than people without multiple sclerosis.
62,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: disclosing multiple sclerosis at work, how will colleagues react?\nComplete Answer:",- a lot of people will not see what you say.,,will be able to relate to the story,will colleagues feel humiliated,will be a pity,be prepared to respond in a helpful manner,c) their employees,be respectful and caring,Will their colleagues be able to help them?,You are a helpful medical knowledge assistant.
63,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: Will multiple sclerosis affect my career?\nComplete Answer:",Multiple sclerosis can lead to serious health issues and medical conditions.,"Multiple sclerosis is a disease that affects the joints, bones, and blood vessels in the brain.",Multiple sclerosis can cause the following conditions:,Multiple sclerosis can affect your personal health.,"Multiple sclerosis is a common condition that affects the nervous system and nervous system. It can also lead to depression, anxiety, and loss of memory. It can also lead to psychological problems such as depression, irritability, anger, and loss of memory.",Multiple sclerosis affects the ability of a person to perform a variety of tasks.,My career is mostly about my job.,Multiple sclerosis is a vascular disease that affects the blood vessels and is one of the main causes of vascular problems. The disease has been found to affect more than 100 million people worldwide.,Multiple sclerosis can have a negative impact on a person's job and life.,Is multiple sclerosis associated with the following:
68,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: List of multiple sclerosis symptoms\nComplete Answer:",Multiple sclerosis symptoms include:,Multiple sclerosis symptoms include :,Multiple sclerosis symptoms include:,Multiple sclerosis symptoms include:,Multiple sclerosis symptoms include:,Multiple sclerosis symptoms include:,Multiple sclerosis has a number of symptoms that can be described as:,Multiple sclerosis symptoms and causes,Multiple sclerosis symptoms include:,Multiple sclerosis symptoms include:
72,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: Is the Covid-19 vaccine safe for people taking multiple sclerosis drugs?\nComplete Answer:",Is the Covid-19 vaccine safe for people taking multiple sclerosis drugs?,Is the Covid-19 vaccine safe for people taking multiple sclerosis drugs?,Is Covid-19 vaccine safe for people taking multiple sclerosis drugs?,Is the Covid-19 vaccine safe for people taking multiple sclerosis drugs?,The Covid-19 vaccine is a preventive vaccine intended to protect against the effects of multiple sclerosis medications.,Is the Covid-19 vaccine safe for taking multiple sclerosis drugs?,Is the Covid-19 vaccine safe to take with MS drugs?,"The Covid-19 vaccine is a drug that helps prevent multiple sclerosis, but it can cause some adverse effects.",Is the Covid-19 vaccine safe for people taking multiple sclerosis drugs?,Is the Covid-19 vaccine safe for people taking multiple sclerosis drugs?
77,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: How do menopause symptoms relate to multiple sclerosis symptoms?\nComplete Answer:",Menopause symptoms relate to multiple sclerosis symptoms.,Menopause symptoms relate to multiple sclerosis symptoms.,"Multiple sclerosis symptoms include fatigue, high blood pressure, headaches, fatigue, and rapid heartbeat.",Menopause symptoms relate to multiple sclerosis symptoms.,Menopause symptoms related to multiple sclerosis symptoms.,Menopause symptoms related to multiple sclerosis symptoms,Menopause symptoms may be related to multiple sclerosis symptoms.,"Menopause symptoms relate to multiple sclerosis symptoms, meaning that their symptoms are associated with menopause.","Multiple sclerosis symptoms are associated with a decreased appetite, decreased appetite, and a lower risk of heart disease.",Menopause symptoms relate to multiple sclerosis symptoms.
79,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: Can I pass multiple sclerosis to other family members?\nComplete Answer:",Multiple sclerosis can be fatal. Do you think it is possible for you to pass the disease to other family members?,Multiple sclerosis is a chronic condition in which the brain cells do not grow properly.,Identify causes and treatments of multiple sclerosis.,Can you pass multiple sclerosis to other family members?,Multiple sclerosis is an incurable disease that is caused by a genetic mutation that causes it to grow in families.,Can you pass multiple sclerosis to other family members?,Multiple sclerosis may affect one person in your family.,Can you pass multiple sclerosis to other family members?,What is msc?,Multiple sclerosis has been known to cause severe disability in people over 63 years old. Is this linked to family history and treatment?
81,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: Can I work and study full-time with multiple sclerosis?\nComplete Answer:","Multiple sclerosis is a medical condition in which the body is overly active and unable to take in enough nutrients. Multiple sclerosis is an illness that affects approximately 400,000 people in the United States.",Can I work and study full-time with multiple sclerosis?,Is multiple sclerosis an illness and can I work full-time?,Multiple sclerosis (MS) is a progressive condition that has not been fully understood by most people. It affects about one in three men in the US.,Multiple sclerosis is a condition in which multiple sclerosis occurs between the ages of 30 and 50.,Can I work full-time with multiple sclerosis?,Can I work and study full-time with multiple sclerosis?,I have multiple sclerosis and a job that requires me to take a part-time part-time job with the job.,Can you work and study full-time with multiple sclerosis?,Can I work and study full-time with multiple sclerosis?
83,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: Why get episode diagnosed by a doctor as a relapse of multiple sclerosis?\nComplete Answer:",Multiple sclerosis is a degenerative disease that has been caused by the inflammatory changes induced by exposure to heat.,How can a doctor diagnose a relapse of multiple sclerosis?,A relapse of MS is a relapse of MS.,Getting an episode of multiple sclerosis occurs when a patient has had a history of multiple sclerosis for more than a year.,Multiple sclerosis is a medical condition that occurs as a relapse of MS.,relapse of multiple sclerosis,Multiple sclerosis is the primary cause of the relapse of multiple sclerosis.,"Multiple sclerosis is a neurological disease that affects the nervous system. It can be attributed to a variety of causes, including Alzheimer's disease, depression, diabetes and cardiovascular disease. People with relapses may need medical attention to prevent another relapse.",Multiple sclerosis symptoms cause a person to have a painful relapse of multiple sclerosis.,"Multiple sclerosis causes a number of physical changes that affect the body, including changes in the brain, spinal cord, and nerves."
85,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: Relapsing remitting multiple sclerosis\nComplete Answer:",Relapsing remitting multiple sclerosis.,Multiple sclerosis,Relapsing remitting multiple sclerosis,relapsing remitting multiple sclerosis,Relapsing remitting multiple sclerosis,Multiple sclerosis is a condition that has been linked to poor cognitive function.,Relapsing remitting multiple sclerosis,Relapsing remitting multiple sclerosis,Relapsing remitting multiple sclerosis,relapsing remitting multiple sclerosis
86,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: Secondary progressive multiple sclerosis\nComplete Answer:",Secondary progressive multiple sclerosis,Secondary progressive multiple sclerosis,Secondary progressive multiple sclerosis,secondary progressive multiple sclerosis,Secondary progressive multiple sclerosis,Secondary progressive multiple sclerosis.,Secondary progressive multiple sclerosis,Secondary progressive multiple sclerosis,Secondary progressive multiple sclerosis (SSMM) is a disease that affects the joints and brain.,Secondary progressive multiple sclerosis
92,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: causes of fatigue in MS\nComplete Answer:",symptoms of fatigue in MS,Causes of fatigue in MS,"A number of conditions, such as cardiovascular disease and obesity, have been associated with fatigue.",fatigue causes stress,Causes of fatigue in MS,Symptoms of fatigue in MS include:,Causes of fatigue in MS,Causes of fatigue in MS,People with MS experience fatigue in their body.,Symptoms of fatigue in MS
93,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: Does multiple sclerosis relate to sleeping problems and forgetfulness in older people?\nComplete Answer:",Multiple sclerosis (MS) is a medical condition that occurs as a result of a genetic mutation.,"Multiple sclerosis is a genetic condition in which a person's immune system attacks cells that are unable to function normally. The disease has been linked to memory loss, memory loss, and deficiency of memory.",Multiple sclerosis is a genetic disease characterized by the loss of memory and a low ability to recall information. It can be linked to memory loss in older people.,"Multiple sclerosis is a genetic disease that can lead to memory loss, memory loss, and memory loss.","Multiple sclerosis is a progressive disease in which many people develop a variety of physical symptoms, including memory loss and memory loss.","Multiple sclerosis is a chronic condition that affects one’s ability to recall events in the past. These events are often associated with forgetfulness, which makes it difficult to remember.","Multiple sclerosis is a chronic disease that affects about 1% of the population in the United States, with fewer than one in 10 cases being reported as dementia.","Yes. Multiple sclerosis is a progressive disease characterized by the production of plaque on the body's surface. Symptoms of multiple sclerosis include difficulty sleeping or forgetfulness, loss of appetite, and fatigue.","Multiple sclerosis is the name of at least 10 forms of multiple sclerosis. Multiple sclerosis can lead to memory loss, inability to concentrate, and memory loss.",Multiple sclerosis causes memory loss and forgetfulness in older people.
94,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: When will I start to feel better with multiple sclerosis?\nComplete Answer:",Is multiple sclerosis a disease?,What is the first signs and symptoms of multiple sclerosis?,What are some symptoms of multiple sclerosis?,When will I start to feel better with multiple sclerosis?,How long should I wait for my multiple sclerosis to get worse?,You are a helpful medical knowledge assistant. You are an,My tummy would start to ache in three weeks and I would start to feel better after a few months.,Is multiple sclerosis a permanent disability?,I start to feel better with multiple sclerosis in the first few months after having my surgery.,I started to feel better with multiple sclerosis when I began to walk and to talk to my doctor.
95,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: Reading problems in MS\nComplete Answer:",Microsoft Word is being updated.,Microsoft Word,How do I read my medical files,A book can be used to solve spelling and grammar issues.,MS Word 2007,Help a user with problems with reading.,You can provide information to help your doctor identify problems.,MS word search,"For a computer programmer, you might find this helpful: Identify all the functions of the MS word processor and use a truncated keyboard.",nQuestion: What is the best way to read the u.s. constitution?
96,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: most efficient and sustainable diets\nComplete Answer:",Nutrition,This is a list of food and beverage products that are nutrient-dense and sustainably sourced.,"Nutrition is the driving force behind many health benefits. There are many nutrients and nutrients that can be taken from foods, such as fruits, vegetables, whole grains, whole grains, and protein.",a healthy diet consists of varied foods and nutrients.,most efficient and sustainable diets,What are the most efficient and sustainable diets?,Most efficient and sustainable diets are high in protein and high in dietary fiber.,Are your diets high in healthy fats and nutrients?,are the best for losing weight,What are the most efficient and sustainable diets?
97,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: benefits of physical activity\nComplete Answer:",Physical activity can improve the health of people and the body.,A thorough understanding of the benefits and negative consequences of physical activity can help you identify the health benefits and benefits of exercise,"The benefits of physical activity include improving the quality of life of older people, improving longevity, and lowering blood pressure.",A comprehensive list of the benefits of physical activity.,physical activity helps prevent a person's health problems and improve quality of life.,exercise is beneficial in reducing heart rate and stroke risk.,physical activity increases blood flow to the heart and is an important part of overall health.,Increasing your metabolism,physical activity can help prevent heart disease and stroke.,Exercise improves the body's health and well-being.
98,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: most common complications in pregnancy\nComplete Answer:",most common complications in pregnancy,Most common complications in pregnancy are:,The most common complications in pregnancy are:,Most common complications in pregnancy are:,Most common complications in pregnancy,The most common complications in pregnancy are:,a mother's pregnancy,Most common complications in pregnancy include:,Pregnancy and pregnancy are two of the most common causes of pregnancy complications.,Most common complications in pregnancy
101,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: heavy flares swelling lymph nodes\nComplete Answer:",,heavy flares swelling lymph nodes,,drooping lymph nodes,heavy flares swelling lymph nodes,the symptoms and causes of heavy flares and swelling of lymph nodes,heavy flares swelling lymph nodes,thigh pain,"if you are having heavy flares or swelling of your lymph nodes, you may be experiencing a variety of medical conditions.",heavy flares swelling lymph nodes
102,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: randomly gotten eczema\nComplete Answer:",eczema,eczema,eczema,eczema,eczema,eczema,eczema,eczema.,eczema,eczema is the disease that causes skin infections.
105,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: wisdom tooth cuts gum pain\nComplete Answer:",wisdom teeth may cause pain in your mouth.,What is an example of a wisdom tooth?,Wisdom tooth is an inflamed tooth that pierces the gum to cut it. Wisdom teeth are sometimes used as a splint. The tooth is inflamed and can cause pain.,"Wisdom teeth may cause gingivitis, swelling, and pain.","Wisdom tooth, gum, and vulva reduce pain in the mouth.",Wisdom teeth may cause gum pain and are a common cause of tooth loss.,Wisdom tooth: help prevent gum pain,Wisdom teeth are often associated with gum pain and brittle bones.,Wisdom teeth and gum pain are common causes of gum pain.,Wisdom tooth can cause gum pain.
107,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: medication adhd anxiety\nComplete Answer:",What is the best medication for treating adhd anxiety?,common question about adhd anxiety,Adhd anxiety can lead to a variety of conditions.,what is a medication for adhd anxiety,drowsiness,Adhd and anxiety are common side effects of drugs.,can you help me with adhd anxiety?,"Addicts, anxiety, and depression are common symptoms of adhd.",A common question about adhd anxiety is: How do you treat this condition?,Addiction and anxiety.
108,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: chronic diarrhea short-term memory sweating inability to regulate body temperature heart palpitations dysautonomia\nComplete Answer:",chronic diarrhea short-term memory sweating inability to regulate body temperature heart palpitations dysautonomia,chronic diarrhea short-term memory sweating inability to regulate body temperature heart palpitations dysautonomia,chronic diarrhea short-term memory sweating inability to regulate body temperature heart palpitations dysautonomia,dysautonomia dysautonomia dysautonomia dysautonomia,short-term memory sweating inability to regulate body temperature heart palpitations dysautonomia,chronic diarrhea short-term memory sweating inability to regulate body temperature heart palpitations dysautonomia,chronic diarrhea short-term memory sweating inability to regulate body temperature heart palpitations dysautonomia,chronic diarrhea short-term memory sweating inability to regulate body temperature heart palpitations dysautonomia,chronic diarrhea short-term memory sweating inability to regulate body temperature heart palpitations dysautonomia,chronic diarrhea short-term memory sweating inability to regulate body temperature heart palpitations dysautonomia
109,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: ehlers danlos syndrome POTS nausea stomach pain\nComplete Answer:",Ehlers Danlos syndrome,Ehlers danlos syndrome POTS nausea stomach pain,ehlers danlos syndrome POTS nausea stomach pain,Ehlers danlos syndrome ehlers danlos syndrome POTS nausea stomach pain,ehlers danlos syndrome POTS nausea stomach pain,"ehlers danlos syndrome symptoms, symptoms, causes, and causes of",ehlers danlos syndrome POTS nausea stomach pain,ehlers danlos syndrome nausea stomach pain,Ehlers Danlos syndrome symptoms and causes,ehlers danlos syndrome POTS nausea stomach pain
112,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: symptoms of asthma\nComplete Answer:",Asthma,You are a helpful medical knowledge assistant,symptoms of asthma,asthma symptoms,symptoms of asthma,symptoms of asthma,symptoms of asthma,symptoms of asthma,symptoms of asthma,symptoms of asthma
113,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: asthma and covid\nComplete Answer:",What are the symptoms and causes of asthma and covid?,asthma and covid are symptoms of the respiratory system.,You are a helpful medical knowledge assistant.,"When you first learn about asthma, it can be a good idea to ask your doctor about your symptoms.",The respiratory system in humans is also known as the respiratory system.,"To help customers locate the best asthma and covid treatment, write down all relevant information about the disease and make sure you provide accurate, up-to-date information.",asthma and covid,,Inhaling and exhaling airways is a common respiratory condition.,"Accessed on June 26, 2013."
114,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: borderline personality disorder symptoms\nComplete Answer:",The symptoms of borderline personality disorder,symptoms of borderline personality disorder,borderline personality disorder symptoms,symptoms of borderline personality disorder,symptoms of borderline personality disorder,Borderline personality disorder symptoms,Symptoms of borderline personality disorder,symptoms of borderline personality disorder,Borderline personality disorder symptoms,borderline personality disorder symptoms
116,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: outcome prostate cancer\nComplete Answer:",,"Prostate cancer, which is a form of lung cancer, has a clear impact on health outcomes.",Prostate cancer is the leading cause of deaths in the U.S.,"The outcome of prostate cancer is determined by a number of factors, including genetics, drug therapy, and lifestyle.",prostate cancer outcome,prostate cancer,'success'n,prostate cancer,prostate cancer outcome,"prostate cancer can lead to a high blood pressure, which can lead to high cholesterol levels, which can lead to high blood pressure, a high cholesterol level, and other health conditions."
117,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: stage 4 metastatic lung cancer outcome\nComplete Answer:",metastatic lung cancer,Metastatic lung cancer can lead to a number of side effects and complications.,metastatic lung cancer,Stage 4 metastatic lung cancer,,Stage 4 metastatic lung cancer has a poor outcome.,cancer survival,The outcome of stage 4 metastatic lung cancer was:,,
118,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: stage 4 triple negative breast cancer treatment\nComplete Answer:",What are the most common treatments for breast cancer,What is a stage 4 triple negative breast cancer treatment?,A patient who is currently in the midst of a stage 4 triple negative breast cancer treatment is advised to see a physician for further evaluation.,What is the best treatment for breast cancer?,"Accessed May 8, 2016.",breast cancer treatment,"breast cancer treatment, ovulation, and more",This article describes a treatment for stage 4 triple negative breast cancer.,"If you have been diagnosed with breast cancer, what are the symptoms and treatment options for treatment?",treatment for breast cancer
119,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: best pillow neck pain\nComplete Answer:",best pillow neck pain,pillow neck pain,pillow neck pain,pillow neck pain - buy online from the best pillows neck pain,pillow neck pain pillow neck pain,best pillow neck pain,pillow neck pain,pillow neck pain pillow neck pain pillow neck pain pillow neck pain,best pillow neck pain,best pillow neck pain
121,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: numb fingers arthritis\nComplete Answer:",numb fingertips arthritis,"A numb, painful, and inflamed finger.",numb fingers arthritis - symptoms,numb fingers arthritis - definition and history,numb fingers arthritis,numb fingers and a form of arthritis,numb fingertips arthritis,anthraphylaxis,numb fingers,numb fingers arthritis
123,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: hypothyroidism symptoms\nComplete Answer:",symptoms of hypothyroidism,hypothyroidism symptoms - symptoms,hypothyroidism symptoms,hypothyroid symptoms,hypothyroidism symptoms and causes,Hypothyroidism symptoms include:,symptoms of hypothyroidism,Hypothyroidism symptoms include:,symptoms of hypothyroidism,symptoms of hypothyroidism
