qid,query,answer1,answer2,answer3,answer4,answer5,answer6,answer7,answer8,answer9,answer10
57,Question: multiple sclerosis stages phases\nAnswer:,Multiple sclerosis (MS) is a condition in which the central nervous system attacks myelin sheaths,multiple sclerosis,Multiple sclerosis (MS) is a disease characterized by progressive loss of myelin sheath tissue in the central nervous system and/or spinal cord.,The progressive and severe form of MS (pSPMS) is characterized by progressive and severe disability.,Multiple sclerosis (MS) is a chronic disease,Acute MS,"Multiple sclerosis (MS) is an autoimmune disease in which the body attacks myelin sheaths , causing a deterioration in muscle and nerve function.",Multiple sclerosis (MS) is a progressive disease that begins in childhood and progresses to adulthood.,Multiple sclerosis,"Multiple sclerosis (MS) is a neurological disease in which the immune system attacks myelin sheaths, and the body's tissues are damaged."
58,Question: Risk to develop multiple sclerosis\nAnswer:,high,inborn genetic factor,Eating a diet high in saturated fats,a family history of MS,increased as one ages,increased in those with a family history of the condition,age 40 or older,ageing,Age,increased in people with Down syndrome
59,Question: long-term effects likelihood multiple sclerosis\nAnswer:,Multiple sclerosis,multiple sclerosis,a lifelong disability,Multiple sclerosis (MS) is a chronic neurodegenerative disease that is characterized by progressive brain damage and a loss of motor function.,Multiple sclerosis (MS) is a disease that causes progressive neurological damage to the central nervous system.,Multiple sclerosis,"Multiple sclerosis is an autosomal recessive genetic disorder affecting the nervous system, causing progressive disability and death in approximately three-quarters of patients.",MS,the disease progresses,increased risk of developing MS
62,"Question: disclosing multiple sclerosis at work, how will colleagues react?\nAnswer:",discouraged,they will be supportive,A).,be supportive,support you,be supportive,Support,They will be supportive,They will be supportive,they will be understanding
63,Question: Will multiple sclerosis affect my career?\nAnswer:,Multiple sclerosis can have an effect on your career if it causes problems with your movement.,"Multiple sclerosis (MS) is a chronic disease in which the spinal cord can't move properly. It will affect the function of muscles, and if left untreated, can lead to paralysis, loss of independence, and sometimes, death.","Multiple sclerosis is a progressive neurological disease that affects the central nervous system, and it may result in loss of function or disability.","Multiple sclerosis will not affect your career, as it is not life-threatening.","Generally, MS is a slow-developing disease, and most people can return to work after only a few years.","Depending on the type of MS, it may affect your ability to work, but it is not usually a complete or permanent disability.","No, multiple sclerosis is not permanent and it usually doesn't affect career.","No. MS is not progressive, which means that the disease can be controlled and treated, and in most cases, no one will notice that you have MS.","Depending on your disease course and the therapy you receive, your career may be unaffected.","Multiple sclerosis (MS) is an auto-immune disease that attacks the motor nerves and muscle tissue. MS is caused by a viral infection, but can also be caused by a physical injury, such as a concussion. The most common symptoms of MS include: difficulty with walking, tripping, and balance problems."
68,Question: List of multiple sclerosis symptoms\nAnswer:,- Uncontrolled spasm of the legs and arms,Multiple sclerosis (MS) is a autoimmune disease in which the immune system attacks myelin sheaths in the brain and spinal cord.,Symptoms of multiple sclerosis include:,Clumsy behavior,Eye pain,a.,Insomnia,Throat and mouth sores,Lymphedema,a).
72,Question: Is the Covid-19 vaccine safe for people taking multiple sclerosis drugs?\nAnswer:,Covid-19 vaccine is considered safe for people on multiple sclerosis (MS) drugs,"No, Covid-19 vaccines do not interact with multiple sclerosis drugs",yes,"Yes, the vaccine is safe and effective for people with MS.",Covid-19 vaccines are not recommended for people with MS unless they are under medical supervision.,yes,"No, the vaccine is not recommended for people taking multiple sclerosis drugs.","No, the vaccine has not been found to interfere with MS medications, including Tecfidera.",It is not known if the vaccine will interfere with the use of MS drugs.,The vaccine is safe for people taking multiple sclerosis drugs.
77,Question: How do menopause symptoms relate to multiple sclerosis symptoms?\nAnswer:,"Multiple sclerosis is caused by the immune system attacking myelin sheaths in the brain and spinal cord , leading to the symptoms of multiple sclerosis and other disorders.",Menopause is a physiological change in the female body that is related to hormonal changes in menstruation.,"Multiple sclerosis symptoms include fatigue, numbness, and loss of sensation",Multiple sclerosis is a debilitating disease marked by symptoms that can be difficult to understand and that can affect the way in which one feels and behaves.,MS can cause symptoms of menopause,"Multiple sclerosis symptoms can be similar to those of menopause, such as hot flashes, fatigue, depression, and muscle cramps.",Multiple sclerosis is a disorder that affects the immune system.,Multiple sclerosis is an autoinflammatory disease in which the body attacks and destroys its own tissue.,Multiple sclerosis is a neurological disorder that affects the central nervous system and is characterized by an idiopathic loss of muscle control,"Multiple sclerosis (MS) is a rare, progressive, and fatal disease that affects the nervous system and can cause debilitating symptoms and interfere with quality of life."
79,Question: Can I pass multiple sclerosis to other family members?\nAnswer:,yes,yes,"No, there is no way to pass MS to another person.",Yes,Multiple sclerosis is genetically transmitted.,Multiple sclerosis can be passed down in the genes.,"Multiple sclerosis is genetic, but it cannot be passed on to a healthy individual.",Possibly.,yes,Multiple sclerosis is a hereditary disease.
81,Question: Can I work and study full-time with multiple sclerosis?\nAnswer:,"Yes, you can.",yes,yes,no,No. It is recommended that you take breaks between work and studies.,"Yes, you can.","Yes, you can","Depending on your medical condition, the answer is no.","Yes, it is possible to do so.","Yes, you may be able to work and study full-time with MS."
83,Question: Why get episode diagnosed by a doctor as a relapse of multiple sclerosis?\nAnswer:,It means the person has had a relapse of MS.,Multiple sclerosis is a chronic disease that affects the nervous system.,"Multiple sclerosis is a neurological disease that causes progressive and irreversible damage to myelin, a protein that assembles in myelin sheaths.","Multiple sclerosis is a disease in which the immune system attacks healthy tissue in the brain and spinal cord, resulting in loss of consciousness.",it is a specific type of MS,a temporary temporary involuntary loss of motor control,,The episodes of MS can be repeated in one's life.,Multiple sclerosis is a chronic and progressive disease of the central nervous system.,"The episodes of MS can be mild (such as a cold or flu), moderate (such as a severe headache or memory loss) or severe (such as a stroke, loss of vision, etc.)"
85,Question: Relapsing remitting multiple sclerosis\nAnswer:,Multiple sclerosis,a chronic disease,the form of MS in which the disease relapses in a remitting pattern.,RRMS,RRMS,A relapsing-remitting form of MS,Multiple Sclerosis relapsing remitting (RRMS) is a type of progressive multiple sclerosis that occurs in relapsing remitting form.,RRS,The disease relapsing remitting multiple sclerosis (RRMS) is a rare form of multiple sclerosis that occurs relapsing-remitting.,relapsing-remitting multiple sclerosis
86,Question: Secondary progressive multiple sclerosis\nAnswer:,a progressive disease,Multiple sclerosis,MS,Clevomyelia,relapsing-remitting multiple sclerosis,The disease develops in an adult primarily due to mutations in the SMN gene.,is the third most common cause of relapsing-remitting multiple sclerosis.,Multiple sclerosis,Deletion of myelin,a relapsing-remitting form of multiple sclerosis
92,Question: causes of fatigue in MS\nAnswer:,MS affecting the autonomic nervous system and the central nervous system causes fatigue.,"MS is a neurological condition that can cause fatigue, and it can be associated with poor physical and mental health.","MS can be caused by a variety of different factors, the main one being its interaction with your immune system.",MS is characterized by fatigue and a feeling of being exhausted.,MS is a chronic inflammatory disease that causes muscle weakness and fatigue.,Chronic fatigue syndrome (CFS) is a common problem that affects people with MS.,"MS is characterized by fatigue and general apatheticity, although there are no specific symptoms of MS that are diagnostic of fatigue.",Decreased oxygen availability,"MS can also cause fatigue, so it is important to consider the cause of the fatigue in order to manage the condition.","MS affects the immune system, leading to fatigue and weight loss."
93,Question: Does multiple sclerosis relate to sleeping problems and forgetfulness in older people?\nAnswer:,"Multiple sclerosis is a progressive disease in which the central nervous system attacks the brain cells, causing paralysis and death.","MS is a rare neurodegenerative disease, but it can cause a number of sleep disturbances.",Several studies have suggested that sleep disturbances and memory loss are common in people with MS.,The effects of multiple sclerosis on sleep and memory have been studied in various clinical studies but the effect of MS on memory in older people has not been studied.,no,"Multiple sclerosis (MS) is a disease that causes a person to have problems with memory, such as problems remembering their names, dates, places, or things they once loved.",Multiple sclerosis (MS) is a disease affecting the central nervous system.,Multiple sclerosis (MS) is a neurodegenerative disease affecting the central nervous system and the brain.,Multiple sclerosis (MS) is a degenerative disease of the central nervous system.,"Multiple sclerosis (MS) is a brain disease characterized by progressive damage to the central nervous system, affecting the brain and spinal cord."
94,Question: When will I start to feel better with multiple sclerosis?\nAnswer:,Symptoms of MS may be present for years and a lot of people feel that they don't have MS at all.,"A new drug, which is called a disease modifying antiretroviral (DMARD), will make the person's condition better.",The early stages of multiple sclerosis can be treated with therapies to slow the disease down.,"Multiple sclerosis is an autoinflammatory disease that causes severe and progressive loss of motor and sensory function, with some disability, in the form of stiffness, weakness, and/or confusion.","When the disease progresses, you may not feel any symptoms.","Depending on the severity of your MS, symptoms may begin gradually or progress more rapidly.","MS is a progressive disease, and so treatment will not always improve symptoms.","Once symptoms have been diagnosed, treatment can begin.",The first signs of MS may be more fatigue and a loss of vision.,"When symptoms are milder, and there are no worsening, the symptoms will slowly improve."
95,Question: Reading problems in MS\nAnswer:,"MS has been plagued with serious reading problems, affecting both the visually impaired and the print-impaired","MS reads a small number of words that are too short for the next word, resulting in the sentence being incorrectly pronounced",Windows,Reading a bookn,Reading Problems in MS,Reading problems in MS,Reading Problems in MSn,I have a problem with reading.,MS Word,I have never read anything like this
96,Question: most efficient and sustainable diets\nAnswer:,Whole30,a high-protein low-carbohydrate diet,Plant-based diets,a sedentary lifestyle,vegetarian diet,a diet rich in fruit,An African diet,Vegetarian diet,Nutrient dense diets,Whole30
97,Question: benefits of physical activity\nAnswer:,Improves bone health,Increased bone density,"Physical activity can lead to a reduction in the risk of disease and injury, a feeling of well-being, and improved mood.",Increased muscle strength,Increased muscle strength,improved immune function,It can also help prevent some types of cancers,a healthier weight,Exercise can improve cardiovascular health and bone strength.,Physical activity reduces the risk of many chronic diseases and conditions.
98,Question: most common complications in pregnancy\nAnswer:,pulmonary hypertension,uterine rupture,bleeding,chorioamnionitis,Fetal deformation,Abortion,complications during labor,Obstetric fistula,Premature rupture of membranes,Cerebral artery disease
101,Question: heavy flares swelling lymph nodes\nAnswer:,a painful lump or a swelling of the lymph nodes,esophagitis,T-cell lymphoma,,IgA deficiency,Cystitis,Common symptoms of a severe form of swine influenza,,a.,swollen lymph nodes
102,Question: randomly gotten eczema\nAnswer:,itch,Itching and burning,Atopic dermatitis,rashes,itching,eczema is an allergic skin condition that affects about,"Whether you have eczema, there are several conditions that may cause it.",atopic dermatitis,is a bacterial infection,atopic dermatitis
105,Question: wisdom tooth cuts gum pain\nAnswer:,n,Gum recession,swollen gums,the wisdom teeth are cut away,Tooth pain,Toothache,"If your wisdom teeth are in your gums, you will experience pain",a toothache,a toothache,"In rare cases, wisdom teeth can cause pain in the gums."
107,Question: medication adhd anxiety\nAnswer:,"ADHD is a diagnosis used to describe a number of disorders that may involve impulsive behavior, inattentiveness, or both",ADHD is a condition in which the body's normal response to a stimulus is not strong enough to regulate the body's activity.,Benzodiazepines,SSRIs,ADHD and Anxiety Disorders,Aspirin,"ADHD is characterized by difficulty focusing and paying attention, trouble staying focused, and impulsiveness.",Anxiety and depression,Pregabalin,"Antidepressants can be used to treat depression, as well as to treat the symptoms of ADHD."
108,Question: chronic diarrhea short-term memory sweating inability to regulate body temperature heart palpitations dysautonomia\nAnswer:,tinnitus,a.,hepatitis B,Distemper,hives,(d).,a syndrome characterized by,A.,cynophobia,Thyroid disease
109,Question: ehlers danlos syndrome POTS nausea stomach pain\nAnswer:,acute promyelocytic leukemia,Poisoning,"A condition in which the skin turns red and tingly, with rapid and frequent bruising and swelling",No,POTS,"Pain in the right side of the body, especially at rest, in the face, on the arm, or on the leg",C-reactive protein,Ehlers-Danlos syndrome,Ehlers-Danlos syndrome (EDS),Ehlers-Danlos syndrome
112,Question: symptoms of asthma\nAnswer:,"Breathing difficulty, wheezing, chest tightness, tightness, and coughing","sneezing, coughing, wheezing, and/or chest tightness","a wheezing, tightening, or popping sound","Asthma symptoms are usually mild or moderate, but may become more severe if airways are inflamed or if the immune system reacts to a trigger, such as a cold or exercise.",Asthma attacks,sputum,Inhalation,Inhaling a large amount of air,Asthma may lead to other diseases and medical conditions.,"wheezing, chest tightness, shortness of breath, and difficulty breathing"
113,Question: asthma and covid\nAnswer:,pulmonary hypertension,nhl,Covid,"Asthma is a chronic condition that affects the lungs and airways, causing symptoms such as wheezing, shortness of breath, chest tightness, and wheezing.",Asthma,Vaccine,Covid,Covid,Covid,The coronavirus (R5D6) is a highly contagious virus that causes acute respiratory distress syndrome in humans.
114,Question: borderline personality disorder symptoms\nAnswer:,impulsive behavior,impulsive behavior (impulsive or apathetic) and poor impulse control,"A person with borderline personality disorder may have difficulty in forming and maintaining healthy relationships, and may exhibit frequent instability.","impulsiveness, emotional outbursts, and delusions",impulsiveness,Asthma,"BPD is an impulsive, aggressive and delusional personality disorder with a highly erratic personality.",Bipolar Disorder,impulsive or irrational behavior,impulsive behavior
116,Question: outcome prostate cancer\nAnswer:,"Prostate cancer is usually treated with surgery, radiation therapy, and chemotherapy.",Prostate cancer,Prostate cancer,Prostate cancer,Prostate cancer,Prostate cancer,amputation,The prognosis of patients with locally advanced prostate cancer is poor.,PSA levels,Postoperative recurrence
117,Question: stage 4 metastatic lung cancer outcome\nAnswer:,a survival rate of 20%,Prognosis in advanced stage lung cancer,"Stage IV lung cancer is often fatal, and the prognosis is poor.",Stage 4 lung cancer is a stage of advanced lung cancer.,Radiation therapy,"In stage IV lung cancer, the primary tumor is no longer the primary tumor and has spread to other parts of the body.",Treatment options and survival rates are poor for stage 4 lung cancer.,Prognosis,"The ten most common types of cancers in the United States are breast cancer, lung cancer, colorectal cancer, and pancreatic cancer.",Prognosis for stage 4 metastatic lung cancer can be poor; the prognosis for a patient with this stage of disease is poor.
118,Question: stage 4 triple negative breast cancer treatment\nAnswer:,"It is the most common stage of triple negative breast cancer and is treated with a combination of chemotherapy, hormonal therapy, radiation therapy, surgery, and hormonal aromatase inhibitors (HERAs).",A phase III trial involving taxane chemotherapy was initiated in October 2002.,"In most cases, a combination of chemotherapy and hormonal therapy is the best treatment for triple negative breast cancer.",Many of these drugs are administered by intravenous (IV) infusions.,Chemotherapy,Xenical,Breast reconstruction,The most common method of treating stage 4 triple negative breast cancer is chemotherapy.,A phase III trial of the BRAF-targeted therapy HER-2,"In stage IV, the cancer has not responded to radiation therapy or chemotherapy."
119,Question: best pillow neck pain\nAnswer:,"A neck pillow may provide relief for neck pain, a headache, or migraines. Neck pillows can help relieve pressure on the head and neck, relieving pressure on the ears, relieving pressure on the shoulders, and reducing cervical flexion.","The best pillow for neck pain is a cervical pillow, which is a soft pillow shaped like a pillow.",Memory Foam,Use a cervical pillow to relieve neck and shoulder pain.,Sleeping on your side can be a good way to alleviate neck pain,Gel-infused memory foam pillows,soft cotton,Memory Foam,The best pillows to relieve neck pain include the cervical pillow and the head and neck pillow,"Down feather pillows are soft and comfortable, and can be used to support a neck."
121,Question: numb fingers arthritis\nAnswer:,rheumatoid arthritis,gout,"Inflammatory rheumatoid arthritis, also called juvenile rheumatoid arthritis (JRA), is the most common cause of numbness in the fingers and hands.",arthritis of the hand,Rheumatoid Arthritis,a swollen finger,Celiac disease,"In addition to the obvious arthritic symptoms, there are other symptoms that can lead to hand numbness, including loss of dexterity, tingling in the fingers, and a general feeling of numbness.",Rheumatoid arthritis,Celiac disease
123,Question: hypothyroidism symptoms\nAnswer:,Sweaty palms,"Hypothyroidism may also cause fatigue, poor growth, and hair loss.",slowed or absent heartbeat,Bloody urine,Thyroiditis,thinning of hair,Weight loss,"Skin rash, fatigue, and weight loss",thinning hair,"It causes dry skin, thinning hair, loss of weight, and bone loss."
126,Question: birth control suppression antral follicle count\nAnswer:,Sperm count,precocious,Pregnancy,Pregnancy,,BRCA1,apoptosis,follicle,Fertility,Andropause
127,Question: glasses for computer\nAnswer:,a device used to view computer monitors,Mouse,computer glasses,can get hot,can make things look blurry,Eyefinity,Computer glasses or computer glasses (also called computer goggles or computer glasses) are a type of eyeglass designed to correct distance vision.,clumsiness,Eyeglasses,Glasses
130,Question: neck and shoulder stretches\nAnswer:,"Lie down on the floor. Keeping your legs straight, lift your body off the ground and straighten your arms straight out in front of you. Hold for 5 seconds, then lower yourself back down.",Stretch your neck and shoulders by bringing your arms up to your ears.,"Stand with your feet together. Position your hands so that your shoulders and neck are facing you. Hold for one second. Bring your arms straight out behind you. Slowly move your arm down, bringing your arm up.","Do 10 repetitions, 4 sets of 10, with arms and hands at your sides.","Lie flat on your back with one arm on top of the other, with a towel between them.",Move your hands backward.,"Lie on the floor with your back against the wall. Lift your head up and place it behind your back, with the arms at your side. Pull the head down, until the shoulder blades are touching the sides of your head. Relax and let the head roll back.",Stand with your arms by your sides and your back supported. Place your hands on the floor below your shoulders and lower your shoulders down. Keep your head upright and your shoulders relaxed. Look up at the ceiling and bring your chin down.,Do a ten-arm stretch for each arm that is relaxed,"Lie on your back with your arms behind your head and shoulders. Place your hands on your shoulder blades and lift your head up and forward, keeping the elbows near your body. Keeping your shoulders bent and slightly backwards, lower your head backwards and sideways, holding the position for 5 seconds, then lifting your head backwards and sideways, holding the position for another 5 seconds, and then raising your head backwards and sideways again for another 5 seconds."
131,Question: exercises for better posture\nAnswer:,"To improve your posture, try doing a series of exercises that help you to sit up straighter.",Straighten up your back – straighten your back.,Sit with your knees bent and your feet flat on the floor.,"Stand with your feet together and your arms out straight in front of you. Lift your head up and down, then back down again.","To improve your posture, try sitting up straight and taking deep breaths for 10 seconds.",Yoga can help improve your posture and strengthen your core muscles.,"Lie flat with your back straight, and place a hand on your hip.",Lie down with your feet flat on the floor and your knees bent.,"Stand with your feet flat on the floor with the knees extended, and keep your shoulders back and your head back. Keep your knees bent and your shoulders relaxed.",Lie down with your back against a wall or table.
132,Question: headpats scalp psoriasis\nAnswer:,It is recommended that you do not use any kind of head-torching lotion or cream for treating psoriasis.,No,In the United States,Alopecia areata,itch,abrasions,Hair-raising,relieve itching,abrasions,squeezing
