qid,query,answer1,answer2,answer3,answer4,answer5,answer6,answer7,answer8,answer9,answer10
57,Q: multiple sclerosis stages phases\nA:,Multiple sclerosis is a progressive condition that progresses over a period of several years.,Multiple Sclerosis Disease,in the first stage,Acute phase,Multiple Myelodysplastic Syndromes,a progressive and sometimes fatal disease,Multiple myelodysplastic syndrome,,Multiple myelodysplastic syndrome,steriods
58,Q: Risk to develop multiple sclerosis\nA:,Symptoms,Symptoms of multiple sclerosis,Athlete’s foot,if it is found in pregnant women,n=1; P = reactivity; H = (6); G = (10 ); H = h.,Factors contributing to risk to develop multiple sclerosis,Symptoms of MS,scoliosis,,
59,Q: long-term effects likelihood multiple sclerosis\nA:,Alzheimer’s,apoptosis,increased risk,autoimmune disease,opportunistic,a decrease in muscle tone,a history of multiple sclerosis,The possibility of a lifetime diagnosis of multiple sclerosis.,Alzheimer's disease,aging
62,"Q: disclosing multiple sclerosis at work, how will colleagues react?\nA:",resentful,oblivious,they will support you,they will be irritated and angry,supportive,negative,politeness,resentment,resentful,badmouthing your illness
63,Q: Will multiple sclerosis affect my career?\nA:,"Multiple sclerosis has little or no impact on the individual's future job prospects, employment opportunities, and/or income.",Multiple sclerosis (MS) is a progressive condition that can affect the nervous system. It can be extremely difficult to deal with the demands of your daily life.,"Multiple sclerosis often affects the brain and spinal cord. The most common signs of multiple sclerosis are visual impairment, difficulty walking, and a rigid neck.","Multiple sclerosis can significantly affect a person's ability to work, so it is not considered an impairment.",Multiple sclerosis is a chronic condition that can affect the musculoskeletal system. It can be difficult to work in the medical field.,Multiple sclerosis is a condition that affects the brain and spinal cord.,Multiple sclerosis can affect a person's career or income.,Multiple sclerosis does not impair the individual's ability to perform in most types of work.,Multiple sclerosis is a progressive disease and may not be curable.,"Multiple sclerosis can cause stiffness, tingling, and a general lack of coordination."
68,Q: List of multiple sclerosis symptoms\nA:,Symptoms of multiple sclerosis include:,The symptoms of multiple sclerosis are:,A severe pain accompanied by a reddening of the muscles and stiffness.,Symptoms of multiple sclerosis may include :,Symptoms of multiple sclerosis are severe fatigue and pain.,Symptoms of multiple sclerosis can be classified into three categories:,"Multiple sclerosis can cause muscle spasms, joint swelling, and impaired vision.",Multiple sclerosis is characterized by the following symptoms.,Symptoms of multiple sclerosis may include:,Multiple sclerosis can be diagnosed by the presence of symptoms.
72,Q: Is the Covid-19 vaccine safe for people taking multiple sclerosis drugs?\nA:,Covid-19 vaccine is not recommended for people taking multiple sclerosis drugs because it may interact with these medications.,"Covid-19 vaccines do not have the same safety profile as drugs that reduce inflammation, such as azathioprine.",Covid-19 vaccine has been found to be safe for people with MS.,Covid-19 is a vaccine against the HIV virus.,Covid-19 vaccine is not safe for people taking multiple sclerosis medications.,Covid-19 vaccine is not recommended for people taking multiple sclerosis drugs.,Covid-19 vaccine is not recommended for people who are taking multiple sclerosis drugs.,Covid-19 vaccine is generally safe for people with MS.,"The vaccine does not have to be administered to people with MS, although it can be administered to children who are too young to be tested.","The Covid-19 vaccine is a combination of several vaccines designed to prevent the virus. However, due to the side effects of some vaccines, the vaccine is not suitable for everyone."
77,Q: How do menopause symptoms relate to multiple sclerosis symptoms?\nA:,Menopause is a time when your body reaches its peak hormone production.,"Menopause symptoms are the first stage of the menopause, and can be caused by hormonal changes in the body that occur during menopause.",Menopause can reduce menstrual flow and cause muscle tissue to decrease in size. This causes the muscles to become sore and stiff.,Menopause symptoms are a woman's natural change to menstruation. Women who experience menopause symptoms do not menstruate.,Menopause symptoms tend to start at about age 50.,"Menopause symptoms include hot flashes, menstrual cramps, and low energy.",The menopause is a stage in women's life which is usually from the point where menstruation stops.,"The symptoms of menopause occur in the late stages of life, but in most cases end during this stage.",Menopause causes hormone imbalances that cause hormonal imbalances in men and change men's hormonal balances.,"Menopause symptoms are typically caused by a change in the hormones, and may result in changes in mood, energy, and health."
79,Q: Can I pass multiple sclerosis to other family members?\nA:,Multiple sclerosis is a disease that affects the nervous system.,Multiple sclerosis is a disease that affects the nervous system. People with multiple sclerosis have a very limited range of movement and a very low number of muscle cells. People with multiple sclerosis have limited mobility in their legs and arms.,Multiple sclerosis can be passed from parent to child.,"Multiple sclerosis is a disease that is hereditary. It can occur in people of any age, even when they are healthy.",Multiple sclerosis is a progressive disease characterized by progressive muscle weakness and stiffness in the joints.,Multiple sclerosis is a condition that affects the nervous system. It is caused by damage to the nerves that connect the spinal cord with the brain.,"Multiple sclerosis is a hereditary disease that occurs in fewer than 1 in 2,000 people worldwide.",Multiple sclerosis is a disease that is inherited and is not caused by lifestyle choices.,"Multiple sclerosis can be passed from mother to daughter, by genetics.",Multiple sclerosis is a condition that affects the nervous system.
81,Q: Can I work and study full-time with multiple sclerosis?\nA:,No. Multiple sclerosis makes it more difficult to get a job or to study.,"No, multiple sclerosis limits movement and does not allow the resuscitation of the cerebral spinal fluid.",Multiple sclerosis can be a challenging condition to work with and study with.,Multiple sclerosis has been associated with reduced mobility and cognitive function. People with MS cannot work or study full-time.,"Yes, you can work and study full-time with MS.","Yes, if you work and study full-time, you can benefit greatly from it.",Multiple sclerosis does not have a cure.,It's impossible to do so.,A: Yes.,The answer: yes.
83,Q: Why get episode diagnosed by a doctor as a relapse of multiple sclerosis?\nA:,A relapse is a bad thing to do.,It's the only time a person can be certain there is a relapse.,(d).,(d).,"The episode can be a sign of an illness, and a doctor should be able to tell the difference between mild and severe symptoms",When you have multiple sclerosis the episodes are often fatal.,a. Symptoms of MS may be temporary and are not life-threatening.,the disease is not squamous cell disease,"If the episode lasted for more than four weeks, it is usually diagnosed by a specialist like a neurosurgeon",negligenous multiple sclerosis
85,Q: Relapsing remitting multiple sclerosis\nA:,"Sclerosis of the brain, spinal cord, and spinal fluid",Multiple sclerosis is a disease in which the condition of MS is relapsing remitting.,MS,It is an inflammatory disease characterized by relapses and remitting episodes,Relapsing remitting multiple sclerosis is a progressive form of multiple sclerosis in which the disease progresses from mild to severe episodes.,Relapsing remitting multiple sclerosis (RMMS) is a progressive progressive disease that affects the immune system and the nervous system.,(disambiguation),Symptoms of relapsing remitting multiple sclerosis,Multiple Sclerosis,Relapsing remitting multiple sclerosis is a disease in which the symptoms of the disease become progressively worse.
86,Q: Secondary progressive multiple sclerosis\nA:,Secondary progressive multiple sclerosis is an umbrella term that describes several types of the disease that are associated with an individual's age.,(SPM) is an inflammatory disorder that affects the nervous system. It occurs in people who have had the disease for a long period of time.,scleroderma,"Secondary progressive multiple sclerosis (SPM) is a disease that affects a small minority of people. It is usually characterized by the presence of multiple lesions, or by progressive relapsing remission.",Porphyria,"Multiple sclerosis is the most common inflammatory disease in people aged 65 and older, although the disease can be classified as chronic or acute.",sclerosis,is a neurologic condition that causes progressive muscle weakness in the legs and sometimes the arms.,"""Secondary progressive multiple sclerosis""",(SPMV) is a disease of the brain that affects the spinal cord and surrounding tissues. It is the most common type of MS.
92,Q: causes of fatigue in MS\nA:,MS,fatigue is caused by the inability to make oxygenated and cooled blood flow.,Symptoms of metabolic syndrome,neuropathy,fatigue from stress,narcolepsy,MS,MS,MS,A lack of oxygen to the brain
93,Q: Does multiple sclerosis relate to sleeping problems and forgetfulness in older people?\nA:,"Multiple sclerosis affects many areas of the brain. One area of the brain focuses on the visual cortex and other regions involved with memory, learning and reasoning.","Multiple sclerosis affects the nervous system causing problems with sleep, concentration, and memory.","Multiple sclerosis has been found to affect the ability of older people to remember things. The ability to recall things is affected by many neurological conditions, including:",The risk of sleeping problems and forgetfulness is higher in older adults with multiple sclerosis than in non-sclerotic groups.,Multiple sclerosis may affect the functioning of the central nervous system in the elderly.,"Multiple sclerosis (MS) is a progressive neurological disorder characterized by multiple progressive subunits (PSu) in the brain. PSu is the most common type of MS, with many different forms.",The two conditions have been linked to each other.,"Multiple sclerosis (MS) is a progressive, neurodegenerative disorder characterized by progressive, progressive progressive relapses of symptoms.",Multiple sclerosis (MS) is a neurodegenerative disease characterized by progressive loss of control of motor functions and memory.,"Multiple sclerosis, a progressive brain disease, is characterized by multiple symptoms. In addition to sleep problems, the more common symptoms include:"
94,Q: When will I start to feel better with multiple sclerosis?\nA:,"After the disease has been diagnosed, most people will feel better.",When the symptoms have subsided.,"The first months after diagnosis, symptoms improve.",The first few days of improvement may be rapid.,When the disease has been going on for a long time.,"If the disease is diagnosed early, the symptoms of MS are less severe than those of a normal person.",Multiple sclerosis is progressive. It will last for life.,It usually takes a few years for symptoms to improve.,"Once the disease is resolved, it will take approximately 3 years for symptoms to diminish.","It will generally take about one year to start feeling better, although some individuals will experience relief sooner."
95,Q: Reading problems in MS\nA:,"When a new document is opened, the page number is listed at the top right of the screen, with a space in between the pages.",Word,MS Word and PDF,"If you are having trouble reading in Microsoft Word, try using a word processor program.",MS Word,"Often, the problem is not the display on your computer. It is the software.","if you have MS-Word problems (in particular, the words ""Meh"" and ""Eh""), try to install a translation program.",Symptoms of MSn,Microsoft Word,The following issues are commonly seen in MS Word:
96,Q: most efficient and sustainable diets\nA:,,Diets rich in fruits and vegetables,Nutritional supplements,Vegetarian diet,Dietary fiber,a low-carbohydrate and low-carbohydrate diet,low-fat diets,low-carbohydrate,diets that encourage a healthy lifestyle,Dietary supplements
97,Q: benefits of physical activity\nA:,Strengthening the immune system,Exercise may reduce the risk of obesity,The following are some of the benefits of physical activity:,Keeping the immune system and heart healthy,physical activity reduces the risk of heart disease and stroke.,a decrease in the risk of coronary heart disease,Having good cardiovascular health,The body uses muscle and fat for energy and for shedding water weight.,Taking up a healthy lifestyle,"The majority of the benefits of physical activity are health related, including reduced risk of injury and lower risk of diseases."
98,Q: most common complications in pregnancy\nA:,Preterm labor,Eclampsia,Throat,Maternal hyperthermia,Epidural venous thromboembolic syndrome,ectopic pregnancy,Throat problems,Malformations,Bleeding,complications of pregnancy
101,Q: heavy flares swelling lymph nodes\nA:,can lead to pneumonia,symptoms of lymphoma,symptoms of chronic lymphocytic leukemia,tumescent,swelling lymph nodes,swollen lymph nodes,can i have lymphoma,Can you have a lymphoma?,hepatitis,Lymph node cancer
102,Q: randomly gotten eczema\nA:,skin condition,acne,skin conditions,eczema,skin condition,rash,Atopic dermatitis,Acne,Myelodysplastic syndrome,skin eczema
105,Q: wisdom tooth cuts gum pain\nA:,idiopathic toothache,x-ray,xanthias,"Wisdom teeth are large, irregularly shaped teeth that form between the gum and the roof of the mouth. The teeth are also called impacted teeth. Associated with this, wisdom teeth can cause significant health problems such as bleeding and tooth decay.",Anxiety,"When wisdom teeth are extracted, they do not erupt naturally and often lead to severe sensitivity to food, saliva and water.","When the wisdom tooth is extracted, the surrounding gum tissue is saved.",can cause pain,,the amount of tartar
107,Q: medication adhd anxiety\nA:,Phentermine,Advil,Accutane,Advil,Advil,Benzodiazepines,Dolmetrazine,Accutane,antidepressants,Effexor
108,Q: chronic diarrhea short-term memory sweating inability to regulate body temperature heart palpitations dysautonomia\nA:,n,dysphagia,slurred speech,symptoms of neuropsychiatric disorders,n,symptoms of ADHD,nephrotic syndrome,n,abnormal heart rhythms,a severe case
109,Q: ehlers danlos syndrome POTS nausea stomach pain\nA:,Symptoms of ehlers-danlos syndrome,Ehlers-Danlos Syndrome,irritable bowel syndrome,Poluria,Chronic obstructive pulmonary disease,GERD,recurrent episodes of stomach or back pain,Polyamine oxidase inhibitors,eczema,Sjogren's syndrome
112,Q: symptoms of asthma\nA:,asthma attacks,asthmatic symptoms,a coughing and wheezing,respiratory failure,Pulselessness,Asthma attacks usually begin in the lungs and can be treated with anti-inflammatory medications and/or the use of beta-blockers.,Symptoms of asthma include:,asthmatic,Addiction to asthma,Inhaled airway hypersensitivity
113,Q: asthma and covid\nA:,Covid,bronchitis,respiratory,inflammatory respiratory disease,Covid,"Covid is a highly contagious, highly infectious respiratory virus, which causes severe symptoms in the respiratory tract.",Infection with a virus,,viral respiratory syndrome,Are there any overlaps
114,Q: borderline personality disorder symptoms\nA:,symptoms of borderline personality disorder include:,a lack of control over one's emotions,schizoid personality,irritability,irritability,a change in the personality,Moodiness,"mania, depression",a numbness or weakness,"symptoms include anxiety, paranoia, and delusions"
116,Q: outcome prostate cancer\nA:,A high risk of recurrence or relapse,Prostate cancers often recur in men.,The median survival for patients with advanced prostate cancer was 3.5 years.,Surgical treatment,"Prostate cancer has a poor prognosis, with the highest rate of death.",prostate cancer has an average survival of 12.7 years.,Prostate cancer has the highest mortality rate in men.,The majority of patients are cured of their disease with the help of hormonal therapy.,"In men, the survival rate is typically 4.5 years.",The prognosis for patients with prostate cancer is uncertain.
117,Q: stage 4 metastatic lung cancer outcome\nA:,Survivorship,successful treatment,-Lung cancer is a rare disease that is poorly understood.,stage 4 metastatic lung cancer,Prognosis is poor,The survival rate was 4%.,a high overall survival,Overall survival (OS) is 7 to 9 months.,,Positive response in 56% of patients.
118,Q: stage 4 triple negative breast cancer treatment\nA:,chemotherapy,irradiation,,chemotherapy,chemo,chemotherapy,chemotherapy,chemotherapy,4 years,
119,Q: best pillow neck pain\nA:,Sleep on a soft pillow.,Sleeping on a soft pillow with a layer of down or down feathers can help alleviate neck pain.,"Sleep on your back, on your side, or side to avoid the pillow from rubbing and squeezing your neck.",safflower,pillow with a feather filling,Sleeping on your side with a firm pillow will reduce the pain and relax your neck and back.,"The pillow itself is not only supportive for your neck, but it also has a firm, durable and soft surface to avoid slipping.",I think that's the most important pillow to sleep with.,Sleeping with a firm pillow,a thick pillow
121,Q: numb fingers arthritis\nA:,spondylitis,gout,can i get it if i have it?,Arthritis is a common medical condition characterized by the numbness and tingling of the fingers and hands.,rheumatoid arthritis,pain in the joints,rheumatoid arthritis,Arthritis may be the cause of numbness or tingling in your hands and fingers.,Pain and stiffness,can numb your fingers
123,Q: hypothyroidism symptoms\nA:,"Insomnia, poor memory, and irritability",Symptoms,Symptoms may include:,tremors,Anemia,Symptoms may include:,a deficiency of the thyroid hormone thyroidin.,Symptoms of Hypothyroidism include:,The following symptoms are known to be the result of hypothyroidism :,Symptoms include:
126,Q: birth control suppression antral follicle count\nA:,follicular count,follicular count,follicle count,BWT,Pregnancy,vaginal dryness,A.,a cervical count,follicular unit count,The percentage of eggs that fall out of the testicles.
127,Q: glasses for computer\nA:,can be used to hold a computer,can protect eyes,can be used to read and write documents,can be wiped clean,can be used as a monitor,can be used to adjust the screen,are for visual acuity,can be used as a keyboard for a computer,can be used with a mouse,can be worn around the neck
130,Q: neck and shoulder stretches\nA:,Stretching your neck and shoulder muscles helps you relax your back and reduces stiffness in your neck and shoulder muscles.,can help with neck pain,for shoulder sprain,can i rest my neck and shoulder?,can help alleviate the symptoms of a sore shoulder,can i stretch my neck,squat on the floor with your hands on top of your head.,can be found at this link: https://www.youtube.com/watch?v=1vgwg1gPh.,use a mat or towel,can you take a picture of your shoulder
131,Q: exercises for better posture\nA:,"Sit upright with your arms extended in front of you, your spine straight and your head forward.","Lie down on your back with your knees bent, your feet flat on the floor and your knees pointing forward with your toes.",Sit up straight and lean forward.,Lie on your back with your hands on your knees and your back straight.,can you eat a slice of banana or banana sandwich,can you sit on your stomach?,"Do exercises that use your head, neck, and spine as your foundation.",yoga,Doing 15 minutes of walking can help you to sit up straighter.,can help
132,Q: headpats scalp psoriasis\nA:,Use of topical steroids,hair,Dermatitis,Skin lesions,Psoriasis of the scalp,neoplasms,arachnoid psoriasis,psoriatic,Headache,eczema
