qid,query,answer1,answer2,answer3,answer4,answer5,answer6,answer7,answer8,answer9,answer10
83,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: Why get episode diagnosed by a doctor as a relapse of multiple sclerosis?\nComplete Answer:",A relapse is typically an episode that occurs more than once or twice over the course of a lifetime.,"If the episode is a relapse of MS, the doctor may try to diagnose the disease as the disease itself.",Multiple sclerosis is a disease that has relapsed.,The doctor will diagnose the condition as a relapse.,This is due to the onset of the disease and not a relapse.,"Multiple sclerosis is an illness that causes multiple symptoms, which is a condition known as a flare.","When the patient is diagnosed with multiple sclerosis, the episode is often a relapse of the disease, or as part of the larger condition known as ""multiple sclerosis"".","Multiple sclerosis is a neurological condition and occurs in a person of any age, gender, or sexuality.",Multiple sclerosis relapses are a result of a disease process called myelodysplastic syndrome.,Symptoms of multiple sclerosis include a relapse of myelodysplastic syndrome (MDS).
85,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: Relapsing remitting multiple sclerosis\nComplete Answer:","Multiple Sclerosis: Relapsing remitting MS (MelDMA) is a form of MS that occurs in people, usually between the ages of 20 and 50.",Symptoms of relapsing remitting multiple sclerosis (rrMS) are:,Relapsing remitting multiple sclerosis is a form of multiple sclerosis that typically presents with symptoms that are relapsing remitting.,Relapsing remitting multiple sclerosis is a disease in which symptoms and progression of the disease is relapsing.,Multiple sclerosis is a disease of the nervous system that causes relapsing remitting tremors.,Multiple sclerosis is the most common type of multiple sclerosis.,Multiple Sclerosis may be relapsing or remitting.,Relapsing remitting multiple sclerosis is a type of multiple sclerosis in which the symptoms reappear less frequently and less frequently.,"Multiple Sclerosis may cause relapsing, remitting, or progressive multiple sclerosis.",Multiple sclerosis is a chronic progressive condition that can relapse or remit.
86,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: Secondary progressive multiple sclerosis\nComplete Answer:",Secondary progressive multiple sclerosis is a disease of the central nervous system that is progressive and characterized by physical and cognitive impairment.,Secondary progressive multiple sclerosis (SPMS) is a progressive disease characterized by a progressive progressive slowing of the progression of the disease.,Secondary progressive multiple sclerosis is a type of MS.,Secondary progressive multiple sclerosis (SPM) is a condition of the brain that affects the nervous system.,Secondary progressive multiple sclerosis is a progressive progressive neurological condition that may affect the brain.,Secondary progressive multiple sclerosis is an autoimmune condition characterized by the presence of multiple myeloma.,Secondary progressive multiple sclerosis is a disease caused by the build-up of plaques in the brain and spinal cord.,"Secondary progressive multiple sclerosis is a disease of the nervous system and is caused by the mutation in the ""roster"" gene.",Secondary progressive multiple sclerosis (SPM) is a progressive and sometimes fatal form of multiple sclerosis.,Secondary progressive multiple sclerosis is the most common form of MS.
92,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: causes of fatigue in MS\nComplete Answer:",Fatigue is the most common cause of fatigue in MS patients.,"In MS, the body's immune system is damaged, and this causes fatigue.","Symptoms of MS include fatigue, sleepiness, and nausea and vomiting.",MS causes muscle fatigue and muscle spasms.,"MS is a condition caused by muscle weakness, fatigue, and poor sleep.",MS is a condition in which the body has been unable to provide the energy that it needs.,"Symptoms of fatigue include generalized fatigue syndrome (GFS), which is caused by the effects of long-term illness, such as MS, that a person experiences over time.",Causes of fatigue in MS include:,The commonest cause of fatigue in MS is the effects of neurotransmitter imbalances.,MS is a progressive and often debilitating condition that causes fatigue.
93,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: Does multiple sclerosis relate to sleeping problems and forgetfulness in older people?\nComplete Answer:","Multiple sclerosis is a disease in which the spinal cord breaks down neurons, leading to the gradual loss of memory and ability to remember.","Multiple sclerosis is associated with problems with sleeping, forgetfulness and memory.",Multiple sclerosis (MS) is a condition that can affect memory and sleep.,"Multiple sclerosis does not cause memory problems, but does lead to age-related memory loss and memory problems.","Yes, the disease causes sleep problems and forgetfulness in older people, but there are no medications known to interact with these.",Multiple sclerosis can cause sleep problems and forgetfulness in older people.,Multiple sclerosis is a progressive condition that can cause memory loss and dementia.,Multiple sclerosis can cause sleep problems.,"Multiple sclerosis is an autosomal recessive disorder, which means that it causes a loss of memory and short-term memory, which may be related to memory problems.",Multiple sclerosis causes sleep problems and forgetfulness.
94,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: When will I start to feel better with multiple sclerosis?\nComplete Answer:","When you feel better, the pain will gradually subside.","When the muscle and nerves are healing, the patient should experience some improvement in symptoms.","When a person has multiple sclerosis, they will experience a variety of symptoms.",The first symptoms may develop in between three and five years of age.,"When multiple sclerosis begins, symptoms will improve.",Symptoms of MS usually improve within 10 years of being diagnosed.,Is usually felt to improve within a year or two,Symptoms will begin to ease after 3 to 6 months.,Multiple sclerosis usually worsens with age.,Multiple sclerosis is progressive and requires long-term follow-up and treatment.
95,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: Reading problems in MS\nComplete Answer:",MS Word,"Reading problems in MS include dyslexia, dyslexics, dysgraphia, dyscalculia, and dysgraphia.",MS-Disability,"MS includes a learning disability, which means that you might be unable to read the English language.",MS Word,MS has a very poor reader.,Reading problems in MS can be caused by:,MS-Disorders: Common Symptoms and Treatment,MS Word,The following are common causes of MS:
96,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: most efficient and sustainable diets\nComplete Answer:",-Fitness is the most effective and sustainable diet for optimal health.,"For most people, a healthy and well-balanced diet is the most effective and sustainable way to achieve long-term health and wellness.",The most efficient and sustainable diets are the following: eat more fruits and vegetables to improve your health,Eating a balanced diet and staying hydrated is the best way to maintain good health.,"A healthy diet is a combination of nutrient-dense food, and low-calorie, low-carbohydrate, nutrient-rich foods.",Most people want to achieve weight loss and maintain a healthy body weight.,Vegetables are the most efficient and sustainable diet,"Most effective and sustainable diets involve eating a healthy balanced diet that includes fruits, vegetables, grains, protein, and dairy.",The most efficient and sustainable diets are ones that are high in fruits and vegetables.,Weight-loss diets are the most effective and sustainable diets
97,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: benefits of physical activity\nComplete Answer:","Exercise has a positive impact on a person's health, and for some people, it's a good way to prevent and reduce the risks of heart disease.","Physical activity can lower cholesterol, lower blood pressure, reduce the risk of heart disease, and maintain a healthy weight.",Getting enough exercise helps maintain a healthy weight and reduces the risk of developing type 2 diabetes.,"In addition to improving physical and mental health, physical activity also provides many other benefits.","Exercise can increase your body's metabolism, and help to break down fats, reduce the risk of heart disease and diabetes, and a variety of other health benefits.",Physical activity can improve the health of the body.,"Exercise is associated with a reduction in the risk of heart disease, stroke, and certain cancers.","Exercise has been shown to reduce stress and anxiety, improve cognitive function, help with sleep, and increase muscle tone.","Physical activity can reduce the risk of heart disease, bph, and stroke.","Exercise has been shown to improve a person's mood, sleep quality, muscle tone, and bone health."
98,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: most common complications in pregnancy\nComplete Answer:","Pregnancy can cause gestational diabetes, miscarriage, and other complications.","OB/GYN, C-section, C-section, and IVF",Pregnancy is a stressful time for both mother and baby,"Throat, back, and respiratory complications","Fetal alcohol syndrome (FAS) is a common problem in pregnancy, affecting about 30% of pregnancies.",A miscarriage is the most common birth defect.,"Obstetric complications include placenta previa, labour and delivery, vaginal dryness, intrauterine infection, miscarriage, miscarriage, and hemorrhagic shock.","Most common complications in pregnancy include miscarriage, labor and delivery, and placenta blockage.","Pregnancy is a very complicated period, which is caused by many diseases and conditions.","Cardiovascular complications in pregnancy include: Heart disease, diabetes, high blood pressure, anemia, stroke, and high cholesterol."
101,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: heavy flares swelling lymph nodes\nComplete Answer:","Bruising, swelling, and lymph node pain can occur as a result of an increase in lymphocytes in the lymph nodes.","Lymphoma is a medical condition in which lymph nodes are inflamed and inflamed lymph nodes swell, and there is tissue destruction of the lymph nodes.",T1-type lymphoma is the most common type of lymphoma.,Lymphoma is a disease that affects lymph nodes.,Lymphoid tissue is a tissue that can swell and become inflamed.,Lymph nodes are swollen and inflamed in the lymphatic system.,Light and moderate flares are usually unrelated.,Heavy flares are painful and sometimes cause lymph nodes to swell.,Lymphoma may be exacerbated by cold or flu.,Lymphoid fever is the most common cause of lymph nodes swelling.
102,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: randomly gotten eczema\nComplete Answer:",Eczema is a condition caused by overactive immune system and immune response.,Eczema is caused by the production of the immune system's own skin cells,"Eczema is an inflammatory skin condition caused by dryness, inflammation, and the buildup of dead skin cells.","Eczema is a condition of skin that is caused by excessive dryness, which results from an immune system reaction.","Eczema is a condition that starts as a build-up of dead skin cells in the skin, which can irritate and dry the skin.",Eczema is caused by an immune response to the chemicals produced by your skin's immune system.,"Typically, people with eczema develop it accidentally.","Atopic dermatitis is a skin condition caused by the inflammation of the skin cells, especially skin cells from the scalp.",Eczema is a skin condition caused by allergic reactions to irritants and other substances in the environment.,"Eczema is an allergy, which means that it can cause itching or burning."
