qid,query,answer1,answer2,answer3,answer4,answer5,answer6,answer7,answer8,answer9,answer10
95,Question: Reading problems in MS\nAnswer:,MS Word can be read by a single mouse click.,The following are some of the common issues with MS Word:,MS WordnMicrosoft WordnMS ExcelnMicrosoft ExcelnMS WordnMicrosoft WordnMS AccessnMicrosoft ExcelnMicrosoft ExcelnMicrosoft ExcelnMicrosoft ExcelnMicrosoft ExcelnMicrosoft WordnMS ExcelnMicrosoft ExcelnMicrosoft WordnMicrosoft ExcelnMicrosoft WordnMS ExcelnMicrosoft ExcelnMicrosoft WordnMS ExcelnMicrosoft WordnMicrosoft ExcelnMicrosoft WordnMicrosoft ExcelnMicrosoft WordnMicrosoft ExcelnMicrosoft WordnMicrosoft ExcelnMicrosoft WordnMicrosoft WordnMicrosoft ExcelnMicrosoft WordnMicrosoft ExcelnMicrosoft WordnMicrosoft ExcelnMicrosoft WordnMicrosoft ExcelnMicrosoft WordnMicrosoft ExcelnMicrosoft WordnMicrosoft ExcelnMicrosoft WordnMicrosoft ExcelnMicrosoft WordnMicrosoft ExcelnMicrosoft WordnMicrosoft ExcelnMicrosoft WordnMicrosoft ExcelnMicrosoft WordnMicrosoft WordnMicrosoft ExcelnMicrosoft WordnMicrosoft ExcelnMicrosoft WordnMicrosoft ExcelnMicrosoft WordnMicrosoft ExcelnMicrosoft WordnMicrosoft WordnMicrosoft ExcelnMicrosoft WordnMicrosoft WordnMicrosoft WordnMicrosoft ExcelnMicrosoft WordnMicrosoft WordnMicrosoft WordnMicrosoft WordnMicrosoft WordnMicrosoft WordnMicrosoft ExcelnMicrosoft ExcelnMicrosoft WordnM,MS Word - Microsoft Office 2007,"if you can't read the text on the page, then you aren't using the right font.","Look for the ""Find"" command and select the ""Find"" tab.",Download a copy of the program Word and replace the fonts and text size with the size of your screen.,Help: Click here for more information.,Windows 10,MS Word
96,Question: most efficient and sustainable diets\nAnswer:,Eat more fruits and vegetables,Healthy diet,Incorporate a healthy meal into your daily routine.,A healthy balanced diet,a low-carbohydrate diet,low-carb diet,diets based on low-carbohydrate foods,weight loss,a low-carbohydrate diet,Weight loss
97,Question: benefits of physical activity\nAnswer:,"Increasing cardiovascular health, such as heart disease, preventing cancers, and controlling blood pressure.",Taking part in daily exercise helps keep the body healthy and strong.,Physical activity promotes healthier weight loss and increases bone density.,"Physical activity lowers the risks of heart disease, stroke, and glaucoma, and reduces the risk of type 2 diabetes, obesity, and high blood pressure.","An increase in heart health, decreased risk of coronary artery disease, lowered blood pressure, and improved immune and cardiovascular health.",Getting regular exercise reduces the risk of developing chronic diseases and maintains a healthy weight.,Increasing metabolismn .,Exercise reduces the risk of heart disease and other diseases.,The benefits of regular exercise include:,"Physical activity has been shown to lower blood pressure, reduce the risk of heart disease and improve immune function."
98,Question: most common complications in pregnancy\nAnswer:,Obstetrical complications,Surgical birth,Obstetric malformations,Pregnancy-induced colic,A miscarriage,Adverse pregnancy reactions (AEDs),Abnormal vaginal bleeding,Sexually transmitted infections,Pregnancy,Malformations
101,Question: heavy flares swelling lymph nodes\nAnswer:,can cause a scarring of the lymph nodes,swollen lymph nodes,Impact,will hurt,is a symptom of lymphoma,can cause permanent damage to a person's health,can cause a doctor to perform surgery,can lead to relapse,can lead to serious complications.,can cause swollen lymph nodes
102,Question: randomly gotten eczema\nAnswer:,Skin condition,Skin condition caused by allergies,"Is the skin on your arms, legs and back scaly?",The skin is covered by a protective layer of keratin.,"It is a skin condition that can occur due to an allergic reaction to something. It is usually caused by contact with irritants such as perfumes, soaps and other chemicals.",YUCK!,atopic dermatitis,,eczema is an inflammation of the skin's surface caused by the buildup of dead cells.,eczema is a type of skin condition in which the epidermis (the upper layer of the skin) turns red and itchy.
105,Question: wisdom tooth cuts gum pain\nAnswer:,"The pulp, which is in the back of your mouth, is attached to the gum tissue and called the periosteum.",Pain from a wisdom tooth is caused by the possibility of the nerve supplying the pulp of the tooth causing the pain.,"Wisdom teeth can become loose, causing pain or discomfort.","When your wisdom teeth are exposed, they can become impacted by the surrounding teeth.",The opening between the tooth and gum can be retracted with a dental filling.,The wisdom tooth is a tooth that can be pulled out of your mouth.,iv.,"When there are too many teeth in the mouth, the gum tissue is irritated and a sore mouth.",The impacted wisdom tooth is removed.,Pain is relieved.
107,Question: medication adhd anxiety\nAnswer:,Adrenalin and benzodiazepines,Effexor,"SSRIs (saline) are available as drugs for treating anxiety, including fluoxetine (Zovirax) (Prozac).",Atypical antidepressants may be used for generalized anxiety disorder (GAD) symptoms.,Effexor,"Adrenergics are chemicals produced by the adrenal glands in response to a chemical in the brain called serotonin, which increases serotonin levels in the brain.",Adrenergic blockers are drugs that reduce the serotonin in the brain that causes anxiety. They are mainly used for treating depression.,Atypical antipsychotic drugs for the treatment of Affective Defective Disorder (AdHD) are available for sale as part of an allergy pill or as an alternative to antidepressants.,Anxiety and Depression Treatmentn,Adrenalin is a drug used to treat depression and anxiety.
108,Question: chronic diarrhea short-term memory sweating inability to regulate body temperature heart palpitations dysautonomia\nAnswer:,nIt is very easy to forget what you had to do the first time.,irritable bowel syndrome,e. coli,n,symptoms of depression,rheumatic fever,ailment,dyspnea,gastrointestinal upset,symptoms of anaphylaxis
109,Question: ehlers danlos syndrome POTS nausea stomach pain\nAnswer:,Pain of the stomach and small intestine,Poisonous exocrine pancreatitis,Peptic ulcer disease,Panic attacks,POTS may be caused by an enzyme that breaks down certain proteins in the gut.,Peptic ulcerative colitis,The ehlers-danlos syndrome (EDS) is a cluster of medical conditions characterized by symptoms that are common in the elderly.,Peptic ulcerative colitis,Pain associated with ehlers-danlos syndrome,Poison-oak
112,Question: symptoms of asthma\nAnswer:,the onset of wheezing,"Symptoms include wheezing, coughing, shortness of breath, shortness of breath, chest tightness, and a coughing or wheezing sound.",asthmatic episode,The sputum is thick and dry.,"Asthma typically causes wheezing, tightness in the chest and chest tightness.",Inhalation,Symptoms of asthma include wheezing and coughing,"Symptoms of asthma include shortness of breath, difficulty breathing, wheezing, and coughing.",Acute asthma attacks are often preceded by symptoms of chronic lung disease.,Pulselessness
113,Question: asthma and covid\nAnswer:,Covid is a genus of viruses in the family Avian influenzae.,a number of respiratory diseases,Can lead to viral pneumonia.,Covid is a virus that causes severe inflammation of the airways and sinuses.,respiratory symptoms,Covid is a nonspecific respiratory infection caused by the coronavirus genus Covid.,Covid is a viral respiratory disease caused by the coronavirus coronavirus.,rhudococcal,are two respiratory diseases that are closely related to the virus.,"Covid is a respiratory virus, causing coughing and running noses."
114,Question: borderline personality disorder symptoms\nAnswer:,A dissociative personality disorder.,Symptoms of Borderline Personality Disorder include:,Symptoms of borderline personality disorder include:,Symptoms of borderline personality disorder are:,Symptoms include:,"symptoms include hyper-arousal, repetitive outbursts, anger, irritability, and self-injury.",irrational and sexual behavior,Symptoms of borderline personality disorder include,Symptoms of borderline personality disorder include:,"Borderline Personality Disorder (BPP) is a personality disorder characterized by extreme hyperactivity, insecurity, and mood swings."
116,Question: outcome prostate cancer\nAnswer:,Prostate cancer is the most common cause of death in men.,80% of men survive,Prostate cancer is one of the most common cancers that is treated with surgery.,prostate cancer is one of the most common cancers in men,"Prostate cancer is a disease that can be treated with surgery, chemotherapy, radiation therapy, and radiation therapy.",Prostate cancer is diagnosed by removing the prostate gland from the patient's body.,Cancer is the most common cause of death from cancer.,Prostate cancer is a life-threatening illness affecting the prostate gland. The most common form of prostate cancer is metastatic (metastasizing) and occurs in men aged 50 and older.,Prostate cancer is a very serious disease that can lead to death.,Prostate cancer is a debilitating disease that in some cases can be cured or reduced by lifestyle changes.
117,Question: stage 4 metastatic lung cancer outcome\nAnswer:,"Results of treatment have been mixed, with the median survival of 4.5 years for patients with advanced disease and 4.3 years for those with complete responses.",The average survival for stage 4 metastatic lung cancer is 5–7 years.,Symptomatic survival is about 80%.,"Prognosis is good, with survival in the first 3 months of the disease and the remainder in the second 5 years.","The majority of stage 4 lung cancer patients die within 5 years, but survival is very poor.",A stage 4 lung cancer relapse is usually associated with a recurrence of the disease.,85% to 95% survival,Cancers with poor prognosis can be cured by targeted therapy and/or chemotherapy.,The prognosis of stage 4 metastatic lung cancer is typically good.,85% survival
118,Question: stage 4 triple negative breast cancer treatment\nAnswer:,Cancer chemotherapy is used to treat metastatic breast cancers with a high molecular sensitivity to a combination of chemotherapy and radiation.,,An effective treatment for stage 4 triple negative breast cancer is chemotherapy.,X-rays,"A total of 59,745 patients were enrolled in the Phase II trial of chemotherapy with nivolumab (Gleevec) in 2013 and paclitaxel (Lithium-Ion) in 2013.","If the tumor is inoperable, the patient is still at risk of developing other diseases.",Prolactin,TAC,chemotherapy,"A resection is performed, and chemotherapy is started."
119,Question: best pillow neck pain\nAnswer:,Rest your head on your pillow and sleep with your face facing forward.,Sleeping on a soft pillow can reduce neck pain in the morning.,Pillows with firm support are best for people who suffer from neck pain.,Tempurpedic Pillow,Sleep on your back with a pillow to reduce neck pain.,Sleep on a firm pillow to avoid sagging or straining your neck.,i>Focus on your spine and neck. Use a firm pillow for support. You want your neck to be supported.,Sleep with your head turned toward the pillow.,Sleep on your back with your arms and legs crossed.,"Pillows are pillows used to support your neck and back while you sleep. They are soft, supportive, and will help to alleviate neck and back pain."
121,Question: numb fingers arthritis\nAnswer:,Symptoms of the disease include,"Arthritis is a chronic inflammation of the joints that causes joint stiffness, swelling, and pain.","Symptoms of arthritis include numbness, tingling, or swelling of the fingers and toes.",Bruising,Arthritis is a condition that causes painful or stiff joints.,arthritis causes inflammation and pain.,Ankylosing spondylitis,numbness and tingling,"Physician, Dr. George W. Hart",numbness
123,Question: hypothyroidism symptoms\nAnswer:,"If you have hypothyroidism, you may have a feeling that you aren't getting enough hormones.","It may lead to low blood pressure and irritability, decreased appetite, and/or weight gain.",Symptoms of hypothyroidism are:,Symptoms of hypothyroidism include:,The symptoms of hypothyroidism are often accompanied by low energy and weight loss.,The symptoms of hypothyroidism include:,The symptoms of hypothyroidism include:,Symptoms of hypothyroidism include:,"It is characterized by symptoms such as dry mouth, dry skin, and decreased energy and alertness.",a lack of thyroid hormone can cause symptoms such as:
126,Question: birth control suppression antral follicle count\nAnswer:,The follicle count (FCC) is the number of eggs in a woman's vagina.,The antral follicle count (AFC) is the percentage of eggs in the egg mass of female reproductive organs.,birth control suppression antral follicle count,,The follicle count is determined by the number of follicles in the antral cavity.,iu,The number of follicles in the antral tissue of the unborn child,female reproductive system,Antral follicle count (AFC) is the amount of the follicles in the antral cavity of the vaginal wall.,"if the follicles are not depleted, the pill may cause the pill to increase the amount of testosterone in the body."
127,Question: glasses for computer\nAnswer:,can be used to adjust the color of the screen,can be worn with a computer mouse,can be used to see the screen,can be used as a monitor,can provide a vision correction,can be used for reading,can be used to read text,can help you keep a close eye on the screen,can be used to watch videos,can impede vision
130,Question: neck and shoulder stretches\nAnswer:,"pause at the elbows, bring the upper arm down to the chest, then bring the lower arm forward to the body","When you are lying down, try to keep your neck in a straight line with the back of your head.",can be done to relieve muscle tension,"Make sure to stretch the neck and shoulders, back and neck.",can be used to alleviate the pain,to help relieve tension,"Hold the stretch for one second, then slowly release.",bend your knees and flex your shoulders.,Stretch from the top of your head to the top of your shoulder.,Stretch the top of your neck and shoulder extending back through your head.
131,Question: exercises for better posture\nAnswer:,"Improve your posture by sitting at a level, comfortable chair with your back straight.",Stretch your spine backward and forward.,Lie on your back with your knees bent.,The following exercises can help you improve your posture:,Strengthening your neck muscles with Pilates exercises is a great way to help your posture improve.,,Use your back muscles to press forward.,,"Sit on your back with your legs crossed, arms hanging off the ground, and your feet shoulder-width apart.",Lie on your back with your legs straight up and feet flat on the floor.
132,Question: headpats scalp psoriasis\nAnswer:,Psoriasis is a disorder that affects the skin and hair on the surface of the body.,A.,eczema,Anxietyn,"Treatments to help with the psoriasis, such as topical creams and lotions, are also possible.",Hair loss,atopic dermatitis,skin,a condition in which the skin of the scalp becomes inflamed due to the buildup of plaque on the surface of the skin.,"Head rash is a skin condition in which the skin is scaly, itchy, or red."
