qid docno rel cred read
1 0e6c8b93-bff3-45f4-9e36-fe6dcc9465d0 2 0 2
1 74795d69-7915-45dd-8ea1-808ad1c05df1 0 2 2
1 45abc458-35d8-4249-a174-e22d1e8c1475 2 0 2
1 4ff9feb8-e41c-4058-a28f-f15dfb44fb39 2 0 2
1 3bde9a88-7f89-4641-8707-aa7dbe6a74d3 2 1 1
1 9d70a852-62eb-4145-aef4-d2e8f4d936f9 1 0 1
1 56637abe-ea46-4dba-8e21-cae6d9f19f64 1 1 2
1 5f8de726-a3f3-4234-a625-debd1567a580 2 1 2
1 7ddc8328-353c-4eab-9f9a-098089d9b0f8 2 0 2
1 1ab49c48-a3bd-4b0f-ad23-2c59804ec0ff 2 1 2
1 b7603c83-98ec-42a3-b979-3f021d094852 2 0 2
1 0840f982-30fd-4636-991c-b419553162b3 2 1 2
1 bec9412d-b3d7-4953-8ce7-3ce07d6beaae 1 0 2
1 2dcac860-d96d-4b14-9a85-bfaf0b4d0d32 0 0 1
1 24c79f2b-7433-495c-bbe3-66609cb530c6 2 2 1
1 3c4a058c-78bf-4fc7-bc06-5ddd617f834d 1 1 1
1 a1fa8d15-03d9-4229-bf73-a9e5d83775d9 1 1 1
1 af3f858c-7a0d-452a-b8f6-ee48836ef609 1 2 1
1 b40346a2-b610-49b5-80f8-86aecb6f0da4 1 1 2
1 bb03237e-e11b-4d5b-bcb3-141f116b8536 2 1 2
1 296442b0-30ec-46b1-bf54-79fba68e3ec7 0 0 1
1 47966faa-e50d-41ac-97e2-6400f62098c3 1 2 1
1 31cc444a-3406-4133-937c-efd4edb0fc12 2 0 2
1 17a8c105-bf9e-4bb4-b280-5f3be119fce5 1 2 1
1 b627b172-c1b5-4fa6-99f7-7b7cc078db3a 0 2 1
1 fb1a6ca6-d5fc-421b-b370-312b5dcf014f 2 2 2
1 c4f50c15-feff-49a9-a9b7-0207118f080d 0 2 0
1 e6bfe9b9-c1d2-4b29-9e4c-ca26c49533c0 1 1 2
1 121bd00f-3644-4300-9f64-867684ec419b 0 2 2
1 a02f16a3-36bd-4d2d-8b27-2214aa80c52a 2 0 2
1 ad3973e4-2cfa-4f47-9391-e0dde47a6222 2 1 2
1 a6cc83f7-25ff-445a-bec2-8da52858b9c6 2 2 1
1 a1a18d78-b950-4ea3-8072-cf955d2e13eb 1 2 1
1 4759dd80-fc31-48cd-a7a9-69e86c002de3 0 1 1
1 e172c64f-f976-4744-a7c3-0c65a9a8c1e6 0 2 0
1 da187856-a59a-4fce-bea8-d1cf4d50821d 1 2 1
1 0e060617-a0fe-4787-89f6-a67c05d1f94d 2 2 1
1 7a690e5c-6cd8-4d3a-b348-a05a46f40a4b 2 1 2
1 93d6ab43-16f5-49b2-b7cd-ce1283d79db4 1 2 1
1 382c0269-e1c0-447e-bc1c-f548eb937ce5 0 2 2
1 ec7d7e50-8316-41b7-8c05-530626e5db59 1 0 1
1 8254cc56-0d94-4a7a-96c4-e3412a2412cd 0 1 1
1 19fee12f-17c8-4a83-8fb3-6d86ab3dac7a 2 1 2
1 106c3ef1-93b3-48fb-b6be-b5cad961fe7c 0 1 2
1 1e70d965-8eba-44be-adc6-a203dec58c45 1 2 1
1 11eaa6e8-2207-4fd8-9841-0ef78c4930c8 1 1 2
1 be3c5114-ffe5-4085-a810-b0eaa34dd5ae 1 0 1
1 805bcf02-51dc-42d0-a7ce-db7dae89d111 0 2 2
1 a6cb66f9-bacd-451f-8973-4a9f027c0539 1 1 2
1 6d1a9ba9-949f-439d-aa4e-c8ab0d6d7234 0 2 1
1 43b2c49f-a283-4361-89f0-3c251052bffb 2 2 2
1 80820653-9971-4359-b04a-c80d264d5585 2 1 2
1 37bd4a72-4f72-4ec5-8011-5dfdb914d187 2 1 2
1 cf4e1f6a-6bd7-47d1-9d94-4366a526acde 1 2 2
1 4b514237-08ee-429f-892b-c1e9a4f9f106 2 1 2
1 1f305a66-3644-4b2d-9c95-92b032999369 0 0 1
1 23f59664-42a9-4cc6-a8bf-b1a3479b8a81 0 1 1
1 e73352dd-1e4d-4c84-a368-3523c106006c 2 0 2
1 76d8b644-9801-4702-8548-00035a94b63b 2 0 2
1 de8513d0-b3ee-41c7-acef-8aadb2f15234 1 0 2
1 290b00f0-d947-4784-8772-8dfe3caa2c23 0 2 2
1 a578063e-955f-43a2-b3f2-2a1332e4a75e 2 0 2
1 6dc88ce7-c2b9-44de-8946-dc366a488ad0 1 1 2
1 1a9f6f3e-f5b9-42f7-97d7-e4ef917b40c3 1 1 2
1 7bb9a47d-c43a-437a-9d8b-b5a8b94d7747 2 1 1
1 1d95661e-2922-4985-b3fa-560ddcda3894 0 1 1
1 2523c69b-d3b1-4ef6-abf0-382edd9f9b1a 0 1 2
1 fbf87169-b3d5-4dc8-ac1a-9edc85dea441 2 1 2
1 182d8f64-09a2-4530-b13b-c0195eb8f1a2 1 1 2
1 1ade373e-6cec-4eb9-8cb8-e28262c6656e 2 1 2
1 25a51f73-bae0-45a0-af21-b5ea53d0e252 0 1 2
1 68b4f939-f175-4284-8d57-e3900a02a458 1 2 1
1 6891b54a-9ec4-4991-a66b-e383a8611443 2 1 2
1 138f9460-1071-4066-9d7c-bad667372472 2 1 2
1 8f954063-d047-4717-b0ee-1127edd95cdc 2 0 2
1 1a74ad64-ebd3-4c37-8f75-455b944e8bce 0 1 2
1 c7c08e0a-dd77-4b7f-acfe-f7e0d4124ed5 0 2 1
1 47ddb903-fbc0-41ae-a5c2-383897d57a4b 2 2 2
1 aec9894f-ddf0-4f2c-be29-390269c615f2 2 1 2
1 5db70554-401a-4d0c-a803-95b70744068e 1 0 1
1 00a7fb9d-aea8-4fd9-bfcb-693af65e02fa 1 2 1
1 c84870cb-1c5b-48fa-b4f5-d35f4454e5ca 1 0 2
1 bd01f57b-ae76-45ee-a598-3bb21ef58648 0 1 1
1 4228ff45-8697-4d01-84f0-7dcbb37c3ef3 1 2 2
1 a0f5e3b9-0fc9-4bd4-a85f-6b270f7c57e6 1 0 1
1 0358a2e3-c4b3-4f5b-b3f0-c042981b3055 2 1 2
1 9bba0a82-d427-49ee-ac21-96e6b2126075 1 0 1
1 7ba29b62-0dfd-41c7-9f2e-85cd5b589044 2 0 2
1 bb9d86e9-c57a-46a0-8a37-4bdfdabf2bb1 2 1 2
1 ee901ea9-bc23-4895-a924-9cb906902b1f 2 1 2
1 55d001ca-e458-4693-97a6-481489feda3c 0 1 2
1 597eb3e2-c8e3-4a01-bd66-a185a8402a45 0 2 1
1 40e8ab7d-2fcc-4f47-987d-4e12cf8197c4 2 2 1
1 0d02d68d-583f-47e0-b244-8fc4f25ffc20 0 2 2
1 ef532940-6818-495f-a831-9b7640cef1b3 1 2 1
1 9bfd3850-1534-4277-82b6-ff463f86b764 0 2 1
1 2b517f5b-1fb3-4fd2-9e68-c11ee8a34022 2 2 2
1 148d3569-4218-42e5-b110-d9f68bf07668 0 1 2
1 3676a597-606a-4105-88d0-cd55145de990 2 1 2
1 e6b44975-f741-4076-be99-b0666f670809 2 2 2
1 05f9e0fa-6477-472c-a17c-9d8dfe07d805 1 2 2
1 083add1f-fc66-4b34-92b9-e3ed654d7f5f 1 2 2
1 231bdd70-ec10-4d3d-a6cf-786d6f5fbac9 0 2 1
1 d040d3e1-db3c-4632-9e0c-b3ba695ba466 1 2 2
1 b9230782-ce7d-431c-90a1-f5f635f36220 0 1 2
1 510f0c8b-17a6-4b21-a132-11b44b771ea5 1 0 1
1 a2601747-01fe-48df-b9a3-47f5e6476a51 2 1 2
1 d252bf8e-1f43-4799-aab4-f94815bf0da7 2 2 2
1 95b3900a-b706-47e3-91d7-0d6e3385c87c 2 2 1
1 7cb80951-37c5-45ed-ac47-65a7ddc63c11 1 1 2
1 b00aec61-710e-40ed-8ee3-f462d22c63d4 1 2 2
1 54c93614-48b6-49a0-8c6a-d45d368685fb 1 2 1
1 c40457ef-becc-48da-8384-a827d16a5b54 1 1 2
1 e5c3a8fa-fd80-407c-b7f5-42a5903b0546 0 1 2
1 01e8c63f-c38a-4dd1-8fc5-fd9eccd5c043 0 1 2
1 0ae70167-0bc8-4f26-8e09-6afcba3ead5b 2 1 2
1 ab53519f-0fa7-4b5d-a533-a3a74f8f2ee4 1 1 2
1 e4a39320-02a9-4f3d-a242-3559f6e90a4c 0 2 2
1 00723b03-1a88-46ff-b4a5-4211e41aabd7 0 1 2
1 05c7ec45-a796-4e80-83be-7dbad47589ab 0 2 2
1 23ae3f96-9d02-4ea4-bb16-03f2cd2cad03 2 2 2
1 b79c285c-a135-468d-bc9d-bccd23d238ee 2 0 2
1 4b0589f1-2fd1-406f-8e2d-34314e3e4cd0 0 1 1
1 9871f317-344a-4ad6-b28c-c821c25ec3ee 2 2 1
1 6cd70c6f-6639-45e7-aece-35edb868281c 2 1 2
1 70d1a3ec-3181-49b4-82a6-b3f0fb7b9573 2 2 1
1 7cefee8f-01ce-4651-b7c9-26de7520ea92 0 2 1
1 2a1b0094-0420-4b30-b065-7ffda9b21347 0 1 2
1 bf5ca687-1349-4014-90bc-176f805fb210 0 1 1
1 1ca1f88e-8ccf-44ef-8c1f-1d65c4cbcb33 1 1 2
1 2a0fd10b-6775-4d7c-a7f6-7304a79e5c4e 1 2 2
1 195f7d8c-f245-4173-b64a-776aef980242 1 0 2
1 7264f938-81ef-4945-836e-77dd79b79fc4 2 2 1
1 f0ab80cf-e8e0-47b3-a1f3-1f36aff2c9d9 0 2 1
1 8a082315-8657-42ab-bfbb-6cd7274df317 0 1 2
1 41e9ca1e-a79b-489f-aa28-b370b57f745a 2 0 2
1 fe9f975d-c1b0-45e4-b352-dfc5a6de3fc8 1 2 1
1 0fda4527-df09-4183-ac2c-9180257649dd 2 2 2
1 17e7b8d2-427d-44a5-9217-b853a5539a0e 0 0 1
1 b6278978-8841-48f1-bede-b86d41473d4f 1 1 2
1 5106a92a-3aea-4fe1-a14f-754875b443e6 2 2 1
1 38ea8923-8684-4f69-8994-7771cbc2d247 1 2 2
1 f57fe589-0f09-44b5-b386-8d78124536b4 1 1 2
1 be7600d0-b49d-4103-8f96-c8941e17101f 0 1 2
1 ffdcf088-e89e-4173-ab0b-c1b3cd8c8639 2 2 2
1 95ad19b1-9656-426e-a423-6b83d9d1a5ab 1 2 2
1 551f6d92-27b7-4ff0-a289-07471ede04be 2 0 1
1 5a439b66-d5b1-4970-9344-c7d379fed603 1 1 2
1 ee149e6a-1e18-466e-ad2b-8d10659649d5 0 2 1
1 c9828ecd-2b85-4de1-ae65-16ffe344935f 1 2 1
1 96dc6246-63a3-4de5-88ab-bb93809f90a0 0 1 2
1 37254680-3563-4e3b-86d6-a86bf89f98fc 2 2 2
1 f113badc-088c-4ebe-96b9-cab0cb99904d 1 0 1
1 b43d0ba1-93f3-4708-add6-24c8c5ee937c 2 1 2
1 6f296bba-19cd-4dd7-a786-31aa36f16b28 1 1 1
1 f869d3ad-c7a8-442b-9133-9cc38feaae09 2 2 2
1 fdd10ef8-489f-4eb0-a5b5-9215babacb6b 0 1 2
1 787374c1-e820-4dfc-97e8-2e7206bf98a7 0 1 1
1 8d2165be-fc95-4ee9-97b4-8a8499e67a50 1 2 1
1 145e1e3d-26b8-4419-9840-653a489b2906 2 2 2
1 2cc75348-ec55-4e57-9057-e35d1d732289 2 2 1
1 111261d8-62d4-4c15-88c6-985d37904e93 1 0 1
1 e83ab2d9-7290-450c-82c3-a35c089dcbb8 0 2 1
1 4b4de698-0dee-4aa5-8a3a-4c27c0acbcff 0 1 2
1 13670c89-2cec-4c12-bea2-df096388220e 1 0 2
1 8161be01-b1e2-4843-908d-45dbe91f5bb2 1 0 1
1 ecbdc29b-42e1-479d-a509-50fdfc6a520e 1 0 2
1 3f6a52ee-fba1-4dbf-91b5-9fe093214171 2 1 1
1 914c81c3-5e03-48fb-8455-ae7b809bdd01 0 0 2
1 b8d8da9f-de0a-47ae-a4b6-0e9392c8d0e4 1 1 2
1 7ae78690-3c12-4cb8-ace9-8763cfafe81c 1 1 2
1 b0a4bf6d-bc6a-464f-9c36-ccd40d7c0899 2 1 2
1 ab4ab5f0-0235-42e5-9125-fd7280031fb0 0 0 2
1 3d5c20c9-0e3b-4fa0-9dcf-d9095ed932e2 1 2 1
1 ccaeaab2-1b82-4097-beb6-890670096f58 2 1 2
1 27b3c635-f0ab-4ab8-b3a3-268609e7e212 2 1 1
1 e9a573c1-dc37-488a-9525-4aeb132f1ff9 0 0 2
1 bbdd8748-2038-4cb7-aa40-a185a11cff25 1 0 2
1 f56bd74f-2255-47c0-bf0f-df7e8b614899 1 2 2
1 403ee663-8b65-4580-a8be-302c125631e2 2 2 2
8 ca6dfa96-6c8b-4971-b8e3-969eca0ab7af 2 2 2
8 47424804-7fce-46c3-8daf-0a829cf890e5 2 1 2
8 f75ca665-5714-45c1-8b74-f298e3896441 2 2 2
8 aa4533a6-976d-4239-b4f3-6cb4e4f4bc69 0 0 1
8 b79213fd-c41c-4da7-8e91-4d4ab42c4d4b 1 1 1
8 249144d5-216d-4ffe-ae9b-32656f4c4530 0 0 1
8 0b96cfe2-78b9-4a1b-802a-bd00ff858d52 2 2 2
8 a65ae282-ee91-4932-babc-c5153974d958 0 1 2
8 32684045-6536-4375-bd7f-e751f4106bab 0 1 2
8 c5b6568a-8225-44c5-8d54-b9962c702952 1 1 2
8 19d73286-24a2-488b-b52e-5c37e0f61d48 0 0 1
8 2b545365-c075-48e5-86e6-bedc55c97dc6 0 1 2
8 7240e88e-bd28-4a84-b400-c6580fe837c1 0 1 2
8 6f33c314-098d-4d81-8cb2-d8ab85d1f3b9 0 1 1
8 3c254ce4-ffde-4afc-95dd-de88d8cd489e 0 0 2
8 c8ecc612-3d78-40dc-9292-ee8f9713752c 0 1 2
8 fc5ef089-9b98-4910-9cea-dd8c4dca7228 0 0 1
8 1de350fc-ca4c-4985-bc44-e4aebe375b77 2 1 2
8 0bbeb407-f073-4eab-953c-65e9d12d2b8b 0 1 1
8 04af8a9a-d714-49e1-aa13-1d9cd46a25ad 0 1 1
8 e4a23a3b-69bf-4cf4-a961-75e8d2e80a0b 0 1 2
8 f45d17a8-ac2b-48f3-997a-5d84460ba279 1 1 2
8 4152e0d8-634f-4cc7-a62f-7a6ea6c25aaf 0 1 2
8 6935db85-a055-4fdf-a171-a0918dc71ff1 0 2 1
8 84a525ea-35ac-49e9-b7fa-c0410a7cae88 1 1 2
8 92acc0a4-42cf-4b92-a678-fefa2a675bf8 1 1 2
8 f2f80c43-5922-4adc-9fc3-8516ee3bcbfe 1 1 2
8 a2fcab85-724a-440c-88de-f4faa0e4c51b 1 2 2
8 5ac52c14-3274-4614-895b-ccbe75a9976d 0 1 1
8 e4292990-6207-4007-a367-7efb1a65e1b8 0 1 2
8 749943a0-4a76-489a-a3d8-bd8cbe4b0a30 1 2 1
8 64eed7aa-f789-4194-812c-a5030118b6d1 2 1 2
8 801724c7-0e7f-4c98-ace1-a70daa8df02c 0 1 2
8 de14e8e3-c1e7-4453-af84-ec615ada4626 0 2 1
8 fbad8888-d8cf-4c67-b423-9b9b0ca896a5 1 2 2
8 f2da5f86-ae33-414a-9e81-08ba84449f3b 0 1 1
8 64830087-37b9-4d60-a376-8dcb01e209a1 0 1 1
8 94b4f9e4-256c-40e4-83b8-d60bbb0b06f2 0 2 2
8 1ccbb61a-b783-42bd-b2b1-4adefab21fae 0 2 2
8 65ac161c-3805-4e67-8fca-6670eae3dac9 0 2 2
8 34605933-e998-4c4e-ad54-d9b4086e2cfd 2 2 2
8 46a01319-73a0-427b-8b3d-28378c690c74 0 1 1
8 e2e96ea4-9047-41bd-8f45-b75c2c084146 0 1 2
8 98f25a2d-d475-4ca2-9678-91aafd756601 0 1 2
8 94a3e020-aced-4819-b34e-7af2e8665404 2 1 2
8 c62ae611-3853-41fc-b950-295521687adc 2 1 2
8 bfb3ea88-8779-4e56-961e-002d07c93e48 0 1 2
8 09003643-c655-4733-ad15-1078525b7e89 0 2 2
8 cd0dbfd4-fc67-4f6b-95af-71bbf893db0d 0 2 1
8 a56732f8-24f2-4c65-9f3c-06a921835888 0 1 1
8 950848a2-6781-403f-9032-9b75c0a25a53 2 1 2
8 e3025e2a-69ad-430f-afce-a8393bdfea45 0 1 2
8 70f98640-9334-455d-b3e5-11bfbbb6289d 0 2 1
8 c7ea7176-50fd-4746-91d3-c8c3a091f649 0 0 2
8 78fdff41-19c8-4055-9164-18d50eecc4e0 0 1 2
8 50f64dd2-6ac4-492f-8164-cc08e04fe0d6 2 2 2
8 7f847e26-8391-4a68-bdd4-6b7f86810b67 0 2 2
8 ddbeb057-4df5-4537-8f0f-9c318c918a71 0 1 2
8 168d91f7-524e-4e36-9e55-7476c093886b 2 1 2
8 d1d3a23d-e003-4049-af27-b1d64ed986f3 0 1 2
8 ef15b47c-c9ca-45da-9c16-18b4410d16f7 0 1 2
8 904a4744-ae98-481f-8319-ba3f3949cf63 0 1 2
8 adf77b1d-0d3e-4f12-9183-2cbdd805840e 0 1 2
8 2c43478a-a29f-498f-b262-c6b0626fe52d 0 1 2
8 ca43abd6-4f04-4017-a5a6-3b45f9705112 0 1 2
8 c4b77cf6-abaa-4104-ab37-ebcdd1a8dcd5 0 0 2
8 39a930b5-c813-4589-bd6e-4d533963f055 0 1 2
8 d86d3e94-ef23-4f53-949d-3844d4dafd17 0 2 1
8 af660a0f-f144-44b9-b0bd-5e2dc65b2d90 0 1 1
8 dca48347-632d-4e72-bbc4-dd7dc6ac3d9d 0 1 2
8 954348dd-f5f3-4a36-b3a2-cceb6944efc6 0 1 2
8 79aef27b-d45f-44af-8a3d-7a1a1a92817e 0 1 1
8 e674c06e-c7f7-4abe-a769-fa165ba25e84 0 1 2
8 3a8d512e-13b2-44cf-92aa-2b1a7a252903 0 1 2
8 dd272f4d-50ce-4a52-a8d6-50ea43c94b1c 0 1 2
8 e2f2ece5-de02-4e38-8865-1af19c501aea 0 1 1
8 56ca28ac-f6a1-4589-b571-865f8b46016b 0 1 1
8 4564debc-1f0a-496c-a060-5e0db462a9a6 0 1 1
8 114b1cf4-ea52-48b2-a4e4-fede65597fcb 1 1 2
8 ff3f0e6d-2179-48e5-a37b-07947c0880d9 0 2 2
8 753ae7ca-f352-4c0a-946a-6f96e3d062be 0 1 2
8 2448ee0b-84ec-4e67-b8ed-7c470eb4ab3d 0 1 1
8 bb33eb20-962b-47d3-9093-d59e3e150aed 0 1 1
8 1619487e-53e3-459a-abc7-a89eb2829c30 0 1 2
8 fb6f486b-708a-4fe4-8c56-a14aaa5b2551 0 2 2
8 295c4140-ace1-4591-ba8a-5960327cfa07 0 1 2
8 c8b1f752-3d80-40fb-918c-692964e48eb2 0 1 1
8 578e201d-445f-48a7-9822-508040f2effc 0 1 2
8 c3ce9eb9-ba46-41cd-bc11-e16131f560e8 0 1 2
8 4835c4b8-8a53-41a9-92b7-fc8bb892b11b 0 2 1
8 58bab6a8-625e-4a78-9f34-e5829f0a9ad7 0 1 2
8 2043fde4-9ceb-470b-a64c-f31292d1e4f5 0 1 1
8 6d764341-7cf7-4716-a416-ab354329c40a 0 1 2
8 5b3eba58-2db9-40b4-8fb1-c9f175b72388 0 1 2
8 d2d3c89e-43ce-4e67-9b26-df94b5d7d1a3 0 1 2
8 0542e98b-ff58-42bb-abaf-5e84eb9fce9f 0 1 2
8 b72ed590-f099-4cf3-a464-c8d23a7fb714 0 1 1
8 ec5f716e-165e-42cd-994e-f18d12ef9563 0 1 2
8 20f8f0d0-4f73-4f55-923b-75008ad670ed 1 1 2
8 6f69ae68-918f-4c17-b74c-3d1243763141 1 1 2
8 e518bbf4-c004-4364-9920-4905ff694f2f 1 1 2
8 384a8915-bb01-48fb-ba88-80cc1602d48c 0 1 0
8 ede2e34b-4d8c-4243-813d-83be732d99fc 0 1 2
8 11409dd3-d7fa-4bc7-ac09-c6c6d823db47 0 1 2
8 cec3c895-a496-4b61-ac3f-bb8036d6ad57 0 1 1
8 04a06454-2ae4-4bec-ae6e-37235929fd0f 0 1 2
8 f7c752bd-fc3e-47f6-b5f2-6806dc6ab84e 0 2 2
8 9cb7c1ab-d94b-4215-b322-c99880b66e6b 0 1 2
8 73d0505b-a070-4b55-969a-fc0db360d1d4 1 1 2
8 c67b03fe-95e8-40c4-9a68-339db80bb90c 0 1 2
8 3ed2c6e2-9a47-4001-9510-a5468eac33a1 0 0 1
8 57845383-1f73-49ab-b412-c423ebcaf0a4 0 1 2
8 787e6d63-6095-4d8e-bbca-6b27e80399c4 0 1 1
8 451e55ef-5d6b-451b-a34e-b5f43dc4d54f 0 1 2
8 683be9f7-f8b1-4610-a588-3a869d385069 0 1 2
8 5b4da8da-1800-432e-972e-370bb898b01b 0 1 2
8 8204b118-3839-4089-b14c-5a4d0c72a6f3 0 1 2
8 a3ef72de-6f6a-4472-af68-54b682baa1d3 0 2 2
8 c99a0a45-f633-44cf-9771-643faddb72e4 0 2 2
8 0fbaf0d2-c717-4e52-abc7-ecc64a47efd7 0 1 2
8 95a6af13-a898-452b-aeb4-c79838496b75 0 1 1
8 b4aec922-5bab-43dc-ba73-704c1e963f62 0 1 2
8 6cf5ddc4-4758-4b48-812e-d7e95fce6a12 0 1 2
8 b6fa7654-280f-482c-a6dc-dedb8bb9a498 0 1 2
8 bd17871a-c0de-47ff-aa73-fe7e106d4e01 0 1 1
8 91cfd540-c902-40b1-8246-ab6b75970ef9 0 1 1
8 66013d81-4d18-4538-8170-3c578ef65ac5 0 1 1
8 53632d12-52ba-43bc-9a42-e258b7d8c524 2 1 2
8 4a213b5c-a16e-46a1-85b7-3ffeff341930 0 2 2
8 bab5092d-76eb-4291-b350-ff151be0511d 0 1 2
8 987ccecc-faab-4301-84a8-a17bc796a905 0 1 2
8 ed64a595-dcb2-4cd1-88a9-04abc758bd9f 0 0 0
8 0680669e-7748-4fc1-94fc-bce1261fbd03 0 1 1
8 926608f5-df36-4208-a44f-35048d8e44b1 0 2 2
8 c0386d83-eadc-4eca-83b1-62bf7fd5c428 0 1 2
8 5440c0d5-8a51-44a1-baec-255608f55d01 1 1 2
8 fc64d0c7-f8cb-477e-acea-21ce36658b4a 0 1 2
8 f40ccb64-cc91-4c97-8e1b-e5b5cd4d14dc 0 0 1
8 f99d27e1-9ecb-428c-a181-778439f69c92 2 1 2
8 1c1650eb-84ad-470a-8ce1-ce177de492fb 0 1 2
8 b28a6ecf-27c2-455c-ab0b-566a0fa2db26 1 1 1
8 e9fb5154-668b-4c10-81d3-a02603a0f260 2 1 2
8 fcc05e34-d983-4263-9fa3-aab42e2feacd 0 1 2
8 e3aa90ca-b820-4f32-9e4c-b2ac82a5377a 0 1 1
8 46398c21-8f25-4580-a2db-bd53f0e6bfe6 0 1 2
8 14a038cf-efbe-497a-84d2-e6f5429dc3e2 0 1 2
8 750bc1da-2174-495e-bc70-3952ecc0a9ed 0 1 1
8 5d7a8f35-6f0d-474c-b44b-e49fa0688f9d 0 1 1
8 ac0e0297-8cd4-4b6f-b900-c48f62fb3ea8 0 1 2
8 24531347-ede5-47d5-8d08-9bc938eee5dd 1 1 2
8 21fdf860-ebfd-4a42-b007-c3b0c77cfea0 0 1 1
8 deb3c43a-15ce-4e86-877d-56f4ab22e7fd 0 2 1
