qid,query,answer1,answer2,answer3,answer4,answer5,answer6,answer7,answer8,answer9,answer10
77,Q: How do menopause symptoms relate to multiple sclerosis symptoms?\nA:,Menopause symptoms relate to multiple sclerosis symptoms:,Menopause symptoms relate to multiple sclerosis symptoms,Menopause symptoms relate to multiple sclerosis symptoms,Menopause symptoms are more commonly associated with multiple sclerosis.,A glycusine-induced mlu activity is a common cause of menopause symptoms and can be very painful.,iii,"Menopause symptoms are characterized by a lack of oxygen, high blood pressure, and low levels of syphilis.","a, n, a , a , b , c , d , e , d , m , d , p , n , r , c , d , e , d , s , p , t , w , p , g , g , h , k , a , b , k , v , l , r , d , f , e , t , w , e , g , r , d , v , w , w , f , w , r , d , c , d , g , d , e , d , d , d , e , d , d , e , d , e , d , e , d , e , d , d , d , d , d , d , e , d , d , d , p , d , d , e , d , d , d , d , e , d , d , d , d , d , d , d , d , d , e , d , d , d , g , d , d , d , d , d , d , d , d , d , d , d , d , d , d , d , d , d , d , d , d , d , d , f , d , d , d , d , d , d",Menopause symptoms relate to multiple sclerosis symptoms,Menopause symptoms relate to multiple sclerosis symptoms
79,Q: Can I pass multiple sclerosis to other family members?\nA:,No,No,No,Yes,No,Yes,No,Yes,Yes,yes
81,Q: Can I work and study full-time with multiple sclerosis?\nA:,"No, no",No,Yes,Yes,No,"Yes, I am a doctor who works as a doctor and is a professor at the University of Texas at Austin.",Yes,Yes,No,Yes
83,Q: Why get episode diagnosed by a doctor as a relapse of multiple sclerosis?\nA:,a relapse of multiple sclerosis,insufficient time to get a diagnosis,a relapse of multiple sclerosis,Inferred from the diagnosis,if you have multiple sclerosis,"It can also be called a ""relapse"".",multiple sclerosis,a relapse of multiple sclerosis,a relapse of multiple sclerosis,relapse of multiple sclerosis
85,Q: Relapsing remitting multiple sclerosis\nA:,remitting,remitting multiple sclerosisn,Reclapsing remitting multiple sclerosisn,Relapsing remitting multiple sclerosisn,remitting multiple sclerosis,remitting multiple sclerosis,Relapsing remitting multiple sclerosisn,Relapsing remitting multiple sclerosis,remitting multiple sclerosis,Relapsing remitting multiple sclerosisn
86,Q: Secondary progressive multiple sclerosis\nA:,Secondary progressive multiple sclerosis,Secondary progressive Multiple sclerosis,Secondary progressive multiple sclerosis,Secondary progressive multiple sclerosis,Secondary progressive multiple sclerosis,Secondary progressive multiple sclerosisn,Secondary progressive multiple sclerosis,Secondary progressive multiple sclerosis,Secondary progressive multiple sclerosis,Secondary progressive Multiple sclerosis
92,Q: causes of fatigue in MS\nA:,(d),Acute fatigue,adrenalysis,fatigue,fatigue,Stress,fatigue,aortic encephalopathy,"flint, sugar, and sulphur",inflammatory reactions
93,Q: Does multiple sclerosis relate to sleeping problems and forgetfulness in older people?\nA:,yes,no,yes,No,Yes,no,No,no,no,yes
94,Q: When will I start to feel better with multiple sclerosis?\nA:,15 days after birth,3 September,"February 1, 2019","January 28, 2018",8 March 2017,20 days,"December 8, 2017",5 days,5 days after birth,"October 27, 2018"
95,Q: Reading problems in MS\nA:,n,MSn,synapsis problems in MS,Reading problems in MS,i.e. reading problems in ess,njb/njc,MS,MSn,MS-D,Bibliotheque Levante
96,Q: most efficient and sustainable diets\nA:,diets that are very efficient and sustainable,best eats in the world,,most efficient and sustainable dietsn,most efficient and sustainable diets,most efficient and sustainable diets,most efficient and sustainable dietsn,most efficient and sustainable diets,n,calorie reduction
97,Q: benefits of physical activity\nA:,exercise,benefits of physical activity,Benefits of Physical Activity,benefits of physical activity,benefit of physical activity,Benefits of physical activity,Those who have physical activity should be well-nourished and active.,Benefits of physical activity,Benefits of Physical Activity,benefit of physical activity
98,Q: most common complications in pregnancy\nA:,complications of pregnancy,complications in pregnancy,sex,Celiac disease,complications,complications,pregnancy complications,pregnancy complications,alopecia,pregnancy complications
101,Q: heavy flares swelling lymph nodes\nA:,heavy flares swelling lymph nodes,heavy flares swelling lymph nodes,heavy flares swelling lymph nodes,heavy flares swelling lymph nodes,heavy flares swelling lymph nodes,heavy flares swelling lymph nodes,heavy flares swelling lymph nodes,heavy flares swelling lymph nodes,heavy flares swelling lymph nodes,heavy flares swelling lymph nodes
102,Q: randomly gotten eczema\nA:,otcbo,ipl,i do not know i am,i.e. i was able to take antibiotics,a chemo,dr eczeman,a bloody hemoglobin,oman,neosceman,I threw the czeman in my mouth
105,Q: wisdom tooth cuts gum pain\nA:,wisdom teeth cut gum pain,wisdom tooth cuts gum painn,gum pain,wisdom tooth cut gum pain,toothache,wisdom tooth,if your gums are soren: irresist,wisdom tooth cuts gum pain,xena,gum pain
107,Q: medication adhd anxiety\nA:,adhd anxiety,narcotics n,medication adhd anxietyn,Adolescence,medication adhd anxiety,medication adhd anxiety,medication adhd anxiety,adolescent medication adhd anxiety,adhd anxiety,adhd anxiety
108,Q: chronic diarrhea short-term memory sweating inability to regulate body temperature heart palpitations dysautonomia\nA:,chronic diarrhea short-term memory sweating inability to regulate body temperature heart palpitations dysautonomian,chronic diarrhea short-term memory sweating inability to regulate body temperature,chronic diarrhea short-term memory sweating inability to regulate body temperature heart palpitations dysautonomian,chronic diarrhea short-term memory sweating inability to regulate body temperature heart palpitations dysautonomian,chronic diarrhea short-term memory sweating inability to regulate body temperature heart palpitations dysautonomian,chronic diarrhea short-term memory sweating inability to regulate body temperature heart palpitations dysautonomian,recurrent colds and flus,chronic diarrhea short-term memory sweating inability to regulate body temperature heart palpitations dysautonomian,chronic diarrhea short-term memory sweating inability to regulate body temperature heart palpitations dysautonomian,chronic diarrhea short-term memory sweating inability to regulate body temperature heart palpitations dysautonomian
109,Q: ehlers danlos syndrome POTS nausea stomach pain\nA:,ehlers danlos syndrome POTS,ehlers danlos syndrome POTS nausea stomach pain,ehlers danlos syndrome POTS nausea stomach painn,ehlers danlos syndrome POTS,ehlers danlos syndrome POTS nausea stomach pain,ehlers danlos syndrome POTS nausea stomach pain,POTS,ehlers danlos syndrome POTS nausea stomach painn,ehlers danlos syndrome POTS,POTS
112,Q: symptoms of asthma\nA:,symptoms of asthma,reoccurring,sprained ankle,(iv),arash,obstructive asthma symptom,bronchial,symptoms of asthma,Symptoms of asthman,symptomatic
113,Q: asthma and covid\nA:,asthma,sneez and covidn,asthma and covidn,respiratory syndrome,gypsies,asthma and covidn,asthma,asthma and covidn,asthma,sex and covidn
114,Q: borderline personality disorder symptoms\nA:,arousal,symptoms of borderline personality disorder,: a disorder that includes a single personality disorder,symptomatic,aps,slurring,symptoms,personality disorder,symptoms of borderline personality disorder,symptoms of borderline personality disorder
116,Q: outcome prostate cancer\nA:,outcome,dgcd,prognosis,prognostic prognosis : a review of cancer outcomes,proliferating prostate cancern,prognostic factor,outcome of prostate cancer,outcome of prostate cancer,outcome,prognosis and diagnosis of prostate cancer
117,Q: stage 4 metastatic lung cancer outcome\nA:,prognostic and esophagus cancern,outcomes of stage 4 metastatic lung cancer,[Journal Summary],cnc-stage 4 metastatic lung cancer,stage 4 metastatic lung cancer,prognostic factor 4,phdal,stage 4 metastatic lung cancer,n,prognostic
118,Q: stage 4 triple negative breast cancer treatment\nA:,treatment of breast cancer : a clinical trial in nigeria,stage 4 triple negative breast cancer treatment,stage 4 triple negative breast cancer treatment,acetylcholine,stage 4 triple negative breast cancer treatment,triple negative breast cancer treatment,stage 4 triple negative breast cancer treatment,stage 4 triple negative breast cancer treatment,adolescence,stage 4 triple negative breast cancer treatment
119,Q: best pillow neck pain\nA:,Best pillow neck pain,Best pillow neck pain,Best pillow neck pain,Best pillow neck pain,Best pillow neck painn,best pillow neck pain,Best pillow neck pain,best pillow neck painn,Best pillow neck pain,Best pillow neck pain
121,Q: numb fingers arthritis\nA:,numb fingers,numb fingers,numb fingers arthritis,numb fingers arthritis,numb fingers arthritisn,numb fingers arthritis,numb fingers arthritis,numb fingers arthritis,numb fingers arthritis,numb fingers arthritisn
123,Q: hypothyroidism symptoms\nA:,symptoms of hypothyroidism,thyroid damage,can be diagnosed with hypothyroidism,symptomatic hypothyroidism,symptoms of hypothyroidism,symptoms of hypothyroidism,symptoms of hypothyroidism,symptoms: hypothyroidism,axodrxy,rash
126,Q: birth control suppression antral follicle count\nA:,,eukaryotes,unanswerable,dr.,a,",",pro-neoplastic disorder,c-terminal gene expression,countn,ivn
127,Q: glasses for computer\nA:,Glasses for computer,glasses for computer,glasses for computer,glasses for computern,glasses for computer,glasses for computern,glasses for computer,glasses for computer,Glasses for computer,Glasses for Computer
130,Q: neck and shoulder stretches\nA:,neck and shoulder stretches,neck and shoulder stretches,neck and shoulder stretches,neck and shoulder stretches,neck and shoulder stretches,neck and shoulder stretches,neck and shoulder,neck and shoulder stretches,neck and shoulder stretches,neck and shoulder stretches
131,Q: exercises for better posture\nA:,exercises for better posturen,Exercises for better posture,exercises for better posture,Exercises for better posture,elliptical exercises,Exercises for better posturen,Exercises for better posture,Exercises for better posturen,Exercises for better posturen,Improve posture
132,Q: headpats scalp psoriasis\nA:,headpats scalp psoriasis,headpats scalp psoriasisn,headpats scalp psoriasis,headpats scalp psoriasisn,headpats scalp psoriasisn,head pats scalp psoriasis,headpats scalp psoriasis,headpats scalp psoriasis,headpats scalp psoriasis,headpats scalp psoriasis
